datetime,date,hour,demand,supply,loadshed,peak
2021-03-01T00:00,2021-03-01,0,,,0,
2021-03-01T01:00,2021-03-01,1,,,0,
2021-03-01T02:00,2021-03-01,2,,,0,
2021-03-01T03:00,2021-03-01,3,,,0,
2021-03-01T04:00,2021-03-01,4,,,0,
2021-03-01T05:00,2021-03-01,5,,,0,
2021-03-01T06:00,2021-03-01,6,,,0,
2021-03-01T07:00,2021-03-01,7,,,0,
2021-03-01T08:00,2021-03-01,8,,,0,
2021-03-01T09:00,2021-03-01,9,,,0,
2021-03-01T10:00,2021-03-01,10,,,0,
2021-03-01T11:00,2021-03-01,11,,,0,
2021-03-01T12:00,2021-03-01,12,,,0,day
2021-03-01T13:00,2021-03-01,13,,,0,
2021-03-01T14:00,2021-03-01,14,,,0,
2021-03-01T15:00,2021-03-01,15,,,0,
2021-03-01T16:00,2021-03-01,16,,,0,
2021-03-01T17:00,2021-03-01,17,,,0,
2021-03-01T18:00,2021-03-01,18,,,0,
2021-03-01T19:00,2021-03-01,19,,,0,evening
2021-03-01T20:00,2021-03-01,20,,,0,
2021-03-01T21:00,2021-03-01,21,,,0,
2021-03-01T22:00,2021-03-01,22,,,0,
2021-03-01T23:00,2021-03-01,23,,,0,
2021-03-02T00:00,2021-03-02,0,,,0,
2021-03-02T01:00,2021-03-02,1,,,0,
2021-03-02T02:00,2021-03-02,2,,,0,
2021-03-02T03:00,2021-03-02,3,,,0,
2021-03-02T04:00,2021-03-02,4,,,0,
2021-03-02T05:00,2021-03-02,5,,,0,
2021-03-02T06:00,2021-03-02,6,,,0,
2021-03-02T07:00,2021-03-02,7,,,0,
2021-03-02T08:00,2021-03-02,8,,,0,
2021-03-02T09:00,2021-03-02,9,,,0,
2021-03-02T10:00,2021-03-02,10,,,0,
2021-03-02T11:00,2021-03-02,11,,,0,
2021-03-02T12:00,2021-03-02,12,,,0,day
2021-03-02T13:00,2021-03-02,13,,,0,
2021-03-02T14:00,2021-03-02,14,,,0,
2021-03-02T15:00,2021-03-02,15,,,0,
2021-03-02T16:00,2021-03-02,16,,,0,
2021-03-02T17:00,2021-03-02,17,,,0,
2021-03-02T18:00,2021-03-02,18,,,0,
2021-03-02T19:00,2021-03-02,19,,,0,evening
2021-03-02T20:00,2021-03-02,20,,,0,
2021-03-02T21:00,2021-03-02,21,,,0,
2021-03-02T22:00,2021-03-02,22,,,0,
2021-03-02T23:00,2021-03-02,23,,,0,
2021-03-03T00:00,2021-03-03,0,,,0,
2021-03-03T01:00,2021-03-03,1,,,0,
2021-03-03T02:00,2021-03-03,2,,,0,
2021-03-03T03:00,2021-03-03,3,,,0,
2021-03-03T04:00,2021-03-03,4,,,0,
2021-03-03T05:00,2021-03-03,5,,,0,
2021-03-03T06:00,2021-03-03,6,,,0,
2021-03-03T07:00,2021-03-03,7,,,0,
2021-03-03T08:00,2021-03-03,8,,,0,
2021-03-03T09:00,2021-03-03,9,,,0,
2021-03-03T10:00,2021-03-03,10,,,0,
2021-03-03T11:00,2021-03-03,11,,,0,
2021-03-03T12:00,2021-03-03,12,,,0,day
2021-03-03T13:00,2021-03-03,13,,,0,
2021-03-03T14:00,2021-03-03,14,,,0,
2021-03-03T15:00,2021-03-03,15,,,0,
2021-03-03T16:00,2021-03-03,16,,,0,
2021-03-03T17:00,2021-03-03,17,,,0,
2021-03-03T18:00,2021-03-03,18,,,0,
2021-03-03T19:00,2021-03-03,19,,,0,evening
2021-03-03T20:00,2021-03-03,20,,,0,
2021-03-03T21:00,2021-03-03,21,,,0,
2021-03-03T22:00,2021-03-03,22,,,0,
2021-03-03T23:00,2021-03-03,23,,,0,
2021-03-04T00:00,2021-03-04,0,,,0,
2021-03-04T01:00,2021-03-04,1,,,0,
2021-03-04T02:00,2021-03-04,2,,,0,
2021-03-04T03:00,2021-03-04,3,,,0,
2021-03-04T04:00,2021-03-04,4,,,0,
2021-03-04T05:00,2021-03-04,5,,,0,
2021-03-04T06:00,2021-03-04,6,,,0,
2021-03-04T07:00,2021-03-04,7,,,0,
2021-03-04T08:00,2021-03-04,8,,,0,
2021-03-04T09:00,2021-03-04,9,,,0,
2021-03-04T10:00,2021-03-04,10,,,0,
2021-03-04T11:00,2021-03-04,11,,,0,
2021-03-04T12:00,2021-03-04,12,,,0,day
2021-03-04T13:00,2021-03-04,13,,,0,
2021-03-04T14:00,2021-03-04,14,,,0,
2021-03-04T15:00,2021-03-04,15,,,0,
2021-03-04T16:00,2021-03-04,16,,,0,
2021-03-04T17:00,2021-03-04,17,,,0,
2021-03-04T18:00,2021-03-04,18,,,0,
2021-03-04T19:00,2021-03-04,19,,,0,evening
2021-03-04T20:00,2021-03-04,20,,,0,
2021-03-04T21:00,2021-03-04,21,,,0,
2021-03-04T22:00,2021-03-04,22,,,0,
2021-03-04T23:00,2021-03-04,23,,,0,
2021-03-05T00:00,2021-03-05,0,,,0,
2021-03-05T01:00,2021-03-05,1,,,0,
2021-03-05T02:00,2021-03-05,2,,,0,
2021-03-05T03:00,2021-03-05,3,,,0,
2021-03-05T04:00,2021-03-05,4,,,0,
