datetime,date,hour,demand,generation,loadshed,peak
2026-01-01T00:00,2026-01-01,0,8854,8854,0,
2026-01-01T01:00,2026-01-01,1,7718,7718,0,
2026-01-01T02:00,2026-01-01,2,7244,7244,0,
2026-01-01T03:00,2026-01-01,3,6888,6888,0,
2026-01-01T04:00,2026-01-01,4,6626,6626,0,
2026-01-01T05:00,2026-01-01,5,6599,6599,0,
2026-01-01T06:00,2026-01-01,6,6944,6944,0,
2026-01-01T07:00,2026-01-01,7,7675,7675,0,
2026-01-01T08:00,2026-01-01,8,8634,8634,0,
2026-01-01T09:00,2026-01-01,9,9456,9456,0,
2026-01-01T10:00,2026-01-01,10,9108,9108,0,
2026-01-01T11:00,2026-01-01,11,9291,9291,0,
2026-01-01T12:00,2026-01-01,12,9681,9681,0,day
2026-01-01T13:00,2026-01-01,13,10327,10327,0,
2026-01-01T14:00,2026-01-01,14,10153,10153,0,
2026-01-01T15:00,2026-01-01,15,9239,9239,0,
2026-01-01T16:00,2026-01-01,16,8846,8846,0,
2026-01-01T17:00,2026-01-01,17,9340,9340,0,
2026-01-01T18:00,2026-01-01,18,10591,10591,0,evening
2026-01-01T19:00,2026-01-01,19,10552,10552,0,
2026-01-01T20:00,2026-01-01,20,10478,10478,0,
2026-01-01T21:00,2026-01-01,21,10260,10260,0,
2026-01-01T22:00,2026-01-01,22,9891,9891,0,
2026-01-01T23:00,2026-01-01,23,9305,9305,0,
2026-01-02T00:00,2026-01-02,0,8210,8210,0,
2026-01-02T01:00,2026-01-02,1,8112,8112,0,
2026-01-02T02:00,2026-01-02,2,7683,7683,0,
2026-01-02T03:00,2026-01-02,3,7436,7436,0,
2026-01-02T04:00,2026-01-02,4,7267,7267,0,
2026-01-02T05:00,2026-01-02,5,6976,6976,0,
2026-01-02T06:00,2026-01-02,6,7240,7240,0,
2026-01-02T07:00,2026-01-02,7,7316,7316,0,
2026-01-02T08:00,2026-01-02,8,7993,7993,0,
2026-01-02T09:00,2026-01-02,9,8600,8600,0,
2026-01-02T10:00,2026-01-02,10,8862,8862,0,
2026-01-02T11:00,2026-01-02,11,8936,8936,0,
2026-01-02T12:00,2026-01-02,12,9662,9662,0,day
2026-01-02T13:00,2026-01-02,13,10690,10690,0,
2026-01-02T14:00,2026-01-02,14,9188,9188,0,
2026-01-02T15:00,2026-01-02,15,7867,7867,0,
2026-01-02T16:00,2026-01-02,16,7637,7637,0,
2026-01-02T17:00,2026-01-02,17,8000,8000,0,
2026-01-02T18:00,2026-01-02,18,9470,9470,0,
2026-01-02T19:00,2026-01-02,19,9533,9533,0,
2026-01-02T20:00,2026-01-02,20,9605,9605,0,evening
2026-01-02T21:00,2026-01-02,21,9563,9563,0,
2026-01-02T22:00,2026-01-02,22,9324,9324,0,
2026-01-02T23:00,2026-01-02,23,8725,8725,0,
2026-01-03T00:00,2026-01-03,0,8788,8788,0,
2026-01-03T01:00,2026-01-03,1,7653,7653,0,
2026-01-03T02:00,2026-01-03,2,7282,7282,0,
2026-01-03T03:00,2026-01-03,3,6945,6945,0,
2026-01-03T04:00,2026-01-03,4,6727,6727,0,
2026-01-03T05:00,2026-01-03,5,6686,6686,0,
2026-01-03T06:00,2026-01-03,6,7193,7193,0,
2026-01-03T07:00,2026-01-03,7,7520,7520,0,
2026-01-03T08:00,2026-01-03,8,8298,8298,0,
2026-01-03T09:00,2026-01-03,9,9010,9010,0,
2026-01-03T10:00,2026-01-03,10,8927,8927,0,
2026-01-03T11:00,2026-01-03,11,8860,8860,0,
2026-01-03T12:00,2026-01-03,12,9519,9519,0,day
2026-01-03T13:00,2026-01-03,13,10014,10014,0,
2026-01-03T14:00,2026-01-03,14,9648,9648,0,
2026-01-03T15:00,2026-01-03,15,8980,8980,0,
2026-01-03T16:00,2026-01-03,16,8863,8863,0,
2026-01-03T17:00,2026-01-03,17,9314,9314,0,
2026-01-03T18:00,2026-01-03,18,10626,10626,0,
2026-01-03T19:00,2026-01-03,19,10806,10806,0,evening
2026-01-03T20:00,2026-01-03,20,10671,10671,0,
2026-01-03T21:00,2026-01-03,21,10500,10500,0,
2026-01-03T22:00,2026-01-03,22,9929,9929,0,
2026-01-03T23:00,2026-01-03,23,9279,9279,0,
2026-01-04T00:00,2026-01-04,0,8924,8924,0,
2026-01-04T01:00,2026-01-04,1,8012,8012,0,
2026-01-04T02:00,2026-01-04,2,7670,7670,0,
2026-01-04T03:00,2026-01-04,3,7413,7413,0,
2026-01-04T04:00,2026-01-04,4,7265,7265,0,
2026-01-04T05:00,2026-01-04,5,6985,6985,0,
2026-01-04T06:00,2026-01-04,6,7614,7614,0,
2026-01-04T07:00,2026-01-04,7,8277,8277,0,
2026-01-04T08:00,2026-01-04,8,9308,9308,0,
2026-01-04T09:00,2026-01-04,9,10065,10065,0,day
2026-01-04T10:00,2026-01-04,10,9812,9812,0,
2026-01-04T11:00,2026-01-04,11,9650,9650,0,
2026-01-04T12:00,2026-01-04,12,9990,9990,0,
2026-01-04T13:00,2026-01-04,13,10466,10466,0,
2026-01-04T14:00,2026-01-04,14,10347,10347,0,
2026-01-04T15:00,2026-01-04,15,9571,9571,0,
2026-01-04T16:00,2026-01-04,16,9359,9359,0,
2026-01-04T17:00,2026-01-04,17,9626,9626,0,
2026-01-04T18:00,2026-01-04,18,10898,10898,0,
2026-01-04T19:00,2026-01-04,19,10874,10874,0,evening
2026-01-04T20:00,2026-01-04,20,10852,10852,0,
2026-01-04T21:00,2026-01-04,21,10594,10594,0,
2026-01-04T22:00,2026-01-04,22,10042,10042,0,
2026-01-04T23:00,2026-01-04,23,9141,9141,0,
2026-01-05T00:00,2026-01-05,0,8883,8883,0,
2026-01-05T01:00,2026-01-05,1,8288,8288,0,
2026-01-05T02:00,2026-01-05,2,7863,7863,0,
2026-01-05T03:00,2026-01-05,3,7515,7515,0,
2026-01-05T04:00,2026-01-05,4,7218,7218,0,
2026-01-05T05:00,2026-01-05,5,7203,7203,0,
2026-01-05T06:00,2026-01-05,6,7772,7772,0,
2026-01-05T07:00,2026-01-05,7,8299,8299,0,
2026-01-05T08:00,2026-01-05,8,9402,9402,0,
2026-01-05T09:00,2026-01-05,9,10013,10013,0,
2026-01-05T10:00,2026-01-05,10,9700,9700,0,
2026-01-05T11:00,2026-01-05,11,9859,9859,0,
2026-01-05T12:00,2026-01-05,12,10291,10291,0,day
2026-01-05T13:00,2026-01-05,13,10734,10734,0,
2026-01-05T14:00,2026-01-05,14,10292,10292,0,
2026-01-05T15:00,2026-01-05,15,9807,9807,0,
2026-01-05T16:00,2026-01-05,16,9507,9507,0,
2026-01-05T17:00,2026-01-05,17,9983,9983,0,
2026-01-05T18:00,2026-01-05,18,11058,11058,0,evening
2026-01-05T19:00,2026-01-05,19,10993,10993,0,
2026-01-05T20:00,2026-01-05,20,10932,10932,0,
2026-01-05T21:00,2026-01-05,21,10682,10682,0,
2026-01-05T22:00,2026-01-05,22,10040,10040,0,
2026-01-05T23:00,2026-01-05,23,9411,9411,0,
2026-01-06T00:00,2026-01-06,0,8803,8803,0,
2026-01-06T01:00,2026-01-06,1,8150,8150,0,
2026-01-06T02:00,2026-01-06,2,7706,7706,0,
2026-01-06T03:00,2026-01-06,3,7418,7418,0,
2026-01-06T04:00,2026-01-06,4,7320,7320,0,
2026-01-06T05:00,2026-01-06,5,7255,7255,0,
2026-01-06T06:00,2026-01-06,6,7731,7731,0,
2026-01-06T07:00,2026-01-06,7,8400,8400,0,
2026-01-06T08:00,2026-01-06,8,9513,9513,0,
2026-01-06T09:00,2026-01-06,9,10154,10154,0,
2026-01-06T10:00,2026-01-06,10,9907,9907,0,
2026-01-06T11:00,2026-01-06,11,10066,10066,0,
2026-01-06T12:00,2026-01-06,12,10546,10546,0,day
2026-01-06T13:00,2026-01-06,13,11062,11062,0,
2026-01-06T14:00,2026-01-06,14,10399,10399,0,
2026-01-06T15:00,2026-01-06,15,9767,9767,0,
2026-01-06T16:00,2026-01-06,16,9517,9517,0,
2026-01-06T17:00,2026-01-06,17,9682,9682,0,
2026-01-06T18:00,2026-01-06,18,10778,10778,0,
2026-01-06T19:00,2026-01-06,19,10997,10997,0,evening
2026-01-06T20:00,2026-01-06,20,10946,10946,0,
2026-01-06T21:00,2026-01-06,21,10667,10667,0,
2026-01-06T22:00,2026-01-06,22,10163,10163,0,
2026-01-06T23:00,2026-01-06,23,9477,9477,0,
2026-01-07T00:00,2026-01-07,0,9087,9087,0,
2026-01-07T01:00,2026-01-07,1,8097,8097,0,
2026-01-07T02:00,2026-01-07,2,7751,7751,0,
2026-01-07T03:00,2026-01-07,3,7438,7438,0,
2026-01-07T04:00,2026-01-07,4,7231,7231,0,
2026-01-07T05:00,2026-01-07,5,7120,7120,0,
2026-01-07T06:00,2026-01-07,6,7524,7524,0,
2026-01-07T07:00,2026-01-07,7,8392,8392,0,
2026-01-07T08:00,2026-01-07,8,9395,9395,0,
2026-01-07T09:00,2026-01-07,9,10050,10050,0,
2026-01-07T10:00,2026-01-07,10,9933,9933,0,
2026-01-07T11:00,2026-01-07,11,9841,9841,0,
2026-01-07T12:00,2026-01-07,12,10356,10356,0,day
2026-01-07T13:00,2026-01-07,13,10769,10769,0,
2026-01-07T14:00,2026-01-07,14,10602,10602,0,
2026-01-07T15:00,2026-01-07,15,9910,9910,0,
2026-01-07T16:00,2026-01-07,16,9390,9390,0,
2026-01-07T17:00,2026-01-07,17,9603,9603,0,
2026-01-07T18:00,2026-01-07,18,10804,10804,0,
2026-01-07T19:00,2026-01-07,19,11164,11164,0,evening
2026-01-07T20:00,2026-01-07,20,11114,11114,0,
2026-01-07T21:00,2026-01-07,21,10897,10897,0,
2026-01-07T22:00,2026-01-07,22,10315,10315,0,
2026-01-07T23:00,2026-01-07,23,9712,9712,0,
2026-01-08T00:00,2026-01-08,0,9281,9281,0,
2026-01-08T01:00,2026-01-08,1,8435,8435,0,
2026-01-08T02:00,2026-01-08,2,8110,8110,0,
2026-01-08T03:00,2026-01-08,3,7794,7794,0,
2026-01-08T04:00,2026-01-08,4,7458,7458,0,
2026-01-08T05:00,2026-01-08,5,7383,7383,0,
2026-01-08T06:00,2026-01-08,6,7891,7891,0,
2026-01-08T07:00,2026-01-08,7,8532,8532,0,
2026-01-08T08:00,2026-01-08,8,9664,9664,0,
2026-01-08T09:00,2026-01-08,9,10236,10236,0,
2026-01-08T10:00,2026-01-08,10,9982,9982,0,
2026-01-08T11:00,2026-01-08,11,9937,9937,0,
2026-01-08T12:00,2026-01-08,12,10349,10349,0,day
2026-01-08T13:00,2026-01-08,13,10875,10875,0,
2026-01-08T14:00,2026-01-08,14,10549,10549,0,
2026-01-08T15:00,2026-01-08,15,9957,9957,0,
2026-01-08T16:00,2026-01-08,16,9687,9687,0,
2026-01-08T17:00,2026-01-08,17,9904,9904,0,
2026-01-08T18:00,2026-01-08,18,11023,11023,0,
2026-01-08T19:00,2026-01-08,19,11164,11164,0,evening
2026-01-08T20:00,2026-01-08,20,11084,11084,0,
2026-01-08T21:00,2026-01-08,21,10879,10879,0,
2026-01-08T22:00,2026-01-08,22,10591,10591,0,
2026-01-08T23:00,2026-01-08,23,9647,9647,0,
2026-01-09T00:00,2026-01-09,0,8604,8604,0,
2026-01-09T01:00,2026-01-09,1,8628,8628,0,
2026-01-09T02:00,2026-01-09,2,8142,8142,0,
2026-01-09T03:00,2026-01-09,3,7762,7762,0,
2026-01-09T04:00,2026-01-09,4,7555,7555,0,
2026-01-09T05:00,2026-01-09,5,7436,7436,0,
2026-01-09T06:00,2026-01-09,6,7808,7808,0,
2026-01-09T07:00,2026-01-09,7,7875,7875,0,
2026-01-09T08:00,2026-01-09,8,8574,8574,0,
2026-01-09T09:00,2026-01-09,9,9087,9087,0,
2026-01-09T10:00,2026-01-09,10,9036,9036,0,
2026-01-09T11:00,2026-01-09,11,9164,9164,0,
2026-01-09T12:00,2026-01-09,12,9696,9696,0,day
2026-01-09T13:00,2026-01-09,13,10860,10860,0,
2026-01-09T14:00,2026-01-09,14,9266,9266,0,
2026-01-09T15:00,2026-01-09,15,8161,8161,0,
2026-01-09T16:00,2026-01-09,16,7867,7867,0,
2026-01-09T17:00,2026-01-09,17,8051,8051,0,
2026-01-09T18:00,2026-01-09,18,9588,9588,0,
2026-01-09T19:00,2026-01-09,19,9897,9897,0,evening
2026-01-09T20:00,2026-01-09,20,9894,9894,0,
2026-01-09T21:00,2026-01-09,21,9879,9879,0,
2026-01-09T22:00,2026-01-09,22,9617,9617,0,
2026-01-09T23:00,2026-01-09,23,9115,9115,0,
2026-01-10T00:00,2026-01-10,0,9190,9190,0,
2026-01-10T01:00,2026-01-10,1,7932,7932,0,
2026-01-10T02:00,2026-01-10,2,7469,7469,0,
2026-01-10T03:00,2026-01-10,3,7235,7235,0,
2026-01-10T04:00,2026-01-10,4,6988,6988,0,
2026-01-10T05:00,2026-01-10,5,6846,6846,0,
2026-01-10T06:00,2026-01-10,6,7523,7523,0,
2026-01-10T07:00,2026-01-10,7,7934,7934,0,
2026-01-10T08:00,2026-01-10,8,8970,8970,0,
2026-01-10T09:00,2026-01-10,9,9174,9174,0,
2026-01-10T10:00,2026-01-10,10,8966,8966,0,
2026-01-10T11:00,2026-01-10,11,8990,8990,0,
2026-01-10T12:00,2026-01-10,12,9469,9469,0,day
2026-01-10T13:00,2026-01-10,13,10027,10027,0,
2026-01-10T14:00,2026-01-10,14,9780,9780,0,
2026-01-10T15:00,2026-01-10,15,9298,9298,0,
2026-01-10T16:00,2026-01-10,16,9029,9029,0,
2026-01-10T17:00,2026-01-10,17,9342,9342,0,
2026-01-10T18:00,2026-01-10,18,10695,10695,0,
2026-01-10T19:00,2026-01-10,19,11118,11118,0,evening
2026-01-10T20:00,2026-01-10,20,11094,11094,0,
2026-01-10T21:00,2026-01-10,21,10851,10851,0,
2026-01-10T22:00,2026-01-10,22,10391,10391,0,
2026-01-10T23:00,2026-01-10,23,9654,9654,0,
2026-01-11T00:00,2026-01-11,0,9477,9477,0,
2026-01-11T01:00,2026-01-11,1,8560,8560,0,
2026-01-11T02:00,2026-01-11,2,8020,8020,0,
