datetime,date,hour,demand,supply,loadshed,peak
2025-02-01T00:00,2025-02-01,0,,,0,
2025-02-01T01:00,2025-02-01,1,,,0,
2025-02-01T02:00,2025-02-01,2,,,0,
2025-02-01T03:00,2025-02-01,3,,,0,
2025-02-01T04:00,2025-02-01,4,,,0,
2025-02-01T05:00,2025-02-01,5,,,0,
2025-02-01T06:00,2025-02-01,6,,,0,
2025-02-01T07:00,2025-02-01,7,,,0,
2025-02-01T08:00,2025-02-01,8,,,12,
2025-02-01T09:00,2025-02-01,9,,,25,
2025-02-01T10:00,2025-02-01,10,,,14,
2025-02-01T11:00,2025-02-01,11,,,39,
2025-02-01T12:00,2025-02-01,12,,,45,day
2025-02-01T13:00,2025-02-01,13,,,54,
2025-02-01T14:00,2025-02-01,14,,,36,
2025-02-01T15:00,2025-02-01,15,,,0,
2025-02-01T16:00,2025-02-01,16,,,0,
2025-02-01T17:00,2025-02-01,17,,,0,
2025-02-01T18:00,2025-02-01,18,,,0,
2025-02-01T19:00,2025-02-01,19,,,0,evening
2025-02-01T20:00,2025-02-01,20,,,0,
2025-02-01T21:00,2025-02-01,21,,,0,
2025-02-01T22:00,2025-02-01,22,,,0,
2025-02-01T23:00,2025-02-01,23,,,0,
2025-02-02T00:00,2025-02-02,0,,,0,
2025-02-02T01:00,2025-02-02,1,,,0,
2025-02-02T02:00,2025-02-02,2,,,0,
2025-02-02T03:00,2025-02-02,3,,,0,
2025-02-02T04:00,2025-02-02,4,,,0,
2025-02-02T05:00,2025-02-02,5,,,0,
2025-02-02T06:00,2025-02-02,6,,,0,
2025-02-02T07:00,2025-02-02,7,,,0,
2025-02-02T08:00,2025-02-02,8,,,32,
2025-02-02T09:00,2025-02-02,9,,,23,
2025-02-02T10:00,2025-02-02,10,,,18,
2025-02-02T11:00,2025-02-02,11,,,0,
2025-02-02T12:00,2025-02-02,12,,,0,day
2025-02-02T13:00,2025-02-02,13,,,0,
2025-02-02T14:00,2025-02-02,14,,,0,
2025-02-02T15:00,2025-02-02,15,,,0,
2025-02-02T16:00,2025-02-02,16,,,0,
2025-02-02T17:00,2025-02-02,17,,,0,
2025-02-02T18:00,2025-02-02,18,,,0,
2025-02-02T19:00,2025-02-02,19,,,0,evening
2025-02-02T20:00,2025-02-02,20,,,0,
2025-02-02T21:00,2025-02-02,21,,,0,
2025-02-02T22:00,2025-02-02,22,,,0,
