datetime,date,hour,demand,generation,loadshed,peak
2017-07-01T00:00,2017-07-01,0,7989,7989,0,
2017-07-01T01:00,2017-07-01,1,7358,7358,0,
2017-07-01T02:00,2017-07-01,2,7219,7219,0,
2017-07-01T03:00,2017-07-01,3,7193,7193,0,
2017-07-01T04:00,2017-07-01,4,7077,7077,0,
2017-07-01T05:00,2017-07-01,5,7018,7018,0,
2017-07-01T06:00,2017-07-01,6,6289,6289,0,
2017-07-01T07:00,2017-07-01,7,5897,5897,0,
2017-07-01T08:00,2017-07-01,8,5901,5901,0,
2017-07-01T09:00,2017-07-01,9,5994,5994,0,
2017-07-01T10:00,2017-07-01,10,6243,6243,0,
2017-07-01T11:00,2017-07-01,11,6436,6436,0,
2017-07-01T12:00,2017-07-01,12,6499,6499,0,
2017-07-01T13:00,2017-07-01,13,6710,6710,0,
2017-07-01T14:00,2017-07-01,14,6746,6746,0,
2017-07-01T15:00,2017-07-01,15,6806,6806,0,
2017-07-01T17:00,2017-07-01,17,6571,6571,0,
2017-07-01T18:00,2017-07-01,18,6309,6309,0,
2017-07-01T19:00,2017-07-01,19,8350,8350,0,
2017-07-01T20:00,2017-07-01,20,8244,8244,0,
2017-07-01T21:00,2017-07-01,21,8602,8602,0,
2017-07-01T22:00,2017-07-01,22,8527,8527,0,
2017-07-01T23:00,2017-07-01,23,8342,8342,0,
2017-07-02T00:00,2017-07-02,0,8150,8150,0,
2017-07-02T01:00,2017-07-02,1,7797,7797,0,
2017-07-02T02:00,2017-07-02,2,7570,7570,0,
2017-07-02T03:00,2017-07-02,3,7343,7343,0,
2017-07-02T04:00,2017-07-02,4,7170,7170,0,
2017-07-02T05:00,2017-07-02,5,6954,6954,0,
2017-07-02T06:00,2017-07-02,6,6297,6297,0,
2017-07-02T07:00,2017-07-02,7,5937,5937,0,
2017-07-02T08:00,2017-07-02,8,6061,6061,0,
2017-07-02T09:00,2017-07-02,9,6485,6485,0,
2017-07-02T10:00,2017-07-02,10,6750,6750,0,
2017-07-02T11:00,2017-07-02,11,6766,6766,0,
2017-07-02T12:00,2017-07-02,12,6933,6933,0,day
2017-07-02T13:00,2017-07-02,13,7116,7116,0,
2017-07-02T14:00,2017-07-02,14,7112,7112,0,
2017-07-02T15:00,2017-07-02,15,7291,7291,0,
2017-07-02T16:00,2017-07-02,16,7243,7243,0,
2017-07-02T17:00,2017-07-02,17,7049,7049,0,
2017-07-02T18:00,2017-07-02,18,6867,6867,0,
2017-07-02T19:00,2017-07-02,19,8487,8487,0,evening
2017-07-02T20:00,2017-07-02,20,8457,8457,0,
2017-07-02T21:00,2017-07-02,21,8421,8421,0,
2017-07-02T22:00,2017-07-02,22,8371,8371,0,
2017-07-02T23:00,2017-07-02,23,8258,8258,0,
2017-07-03T00:00,2017-07-03,0,8113,8113,0,
2017-07-03T01:00,2017-07-03,1,7839,7839,0,
2017-07-03T02:00,2017-07-03,2,7578,7578,0,
2017-07-03T03:00,2017-07-03,3,7205,7205,0,
2017-07-03T04:00,2017-07-03,4,6982,6982,0,
2017-07-03T05:00,2017-07-03,5,6636,6636,0,
2017-07-03T06:00,2017-07-03,6,6024,6024,0,
2017-07-03T07:00,2017-07-03,7,5821,5821,0,
2017-07-03T08:00,2017-07-03,8,5892,5892,0,
2017-07-03T09:00,2017-07-03,9,6280,6280,0,
2017-07-03T10:00,2017-07-03,10,6511,6511,0,
2017-07-03T11:00,2017-07-03,11,6713,6713,0,
2017-07-03T12:00,2017-07-03,12,6857,6857,0,day
2017-07-03T13:00,2017-07-03,13,7083,7083,0,
2017-07-03T14:00,2017-07-03,14,7108,7108,0,
2017-07-03T15:00,2017-07-03,15,7266,7266,0,
2017-07-03T16:00,2017-07-03,16,7265,7265,0,
2017-07-03T17:00,2017-07-03,17,7019,7019,0,
2017-07-03T18:00,2017-07-03,18,7006,7006,0,
2017-07-03T19:00,2017-07-03,19,8612,8612,0,
2017-07-03T20:00,2017-07-03,20,8575,8575,0,
2017-07-03T21:00,2017-07-03,21,8558,8558,0,
2017-07-03T22:00,2017-07-03,22,8486,8486,0,
2017-07-03T23:00,2017-07-03,23,8399,8399,0,
2017-07-04T00:00,2017-07-04,0,8407,8407,0,
2017-07-04T01:00,2017-07-04,1,7794,7794,0,
2017-07-04T02:00,2017-07-04,2,7319,7319,0,
2017-07-04T03:00,2017-07-04,3,7018,7018,0,
2017-07-04T04:00,2017-07-04,4,6797,6797,0,
2017-07-04T05:00,2017-07-04,5,6614,6614,0,
2017-07-04T06:00,2017-07-04,6,6069,6069,0,
2017-07-04T07:00,2017-07-04,7,6016,6016,0,
2017-07-04T08:00,2017-07-04,8,6020,6020,0,
2017-07-04T09:00,2017-07-04,9,6607,6607,0,
2017-07-04T10:00,2017-07-04,10,6750,6750,0,
2017-07-04T11:00,2017-07-04,11,6825,6825,0,
2017-07-04T12:00,2017-07-04,12,7181,7181,0,day
2017-07-04T13:00,2017-07-04,13,7331,7331,0,
2017-07-04T14:00,2017-07-04,14,7322,7322,0,
2017-07-04T15:00,2017-07-04,15,7565,7565,0,
2017-07-04T16:00,2017-07-04,16,7502,7502,0,
2017-07-04T17:00,2017-07-04,17,7333,7333,0,
2017-07-04T18:00,2017-07-04,18,7198,7198,0,
2017-07-04T19:00,2017-07-04,19,8674,8674,0,
2017-07-04T20:00,2017-07-04,20,8744,8744,0,
2017-07-04T21:00,2017-07-04,21,8788,8788,0,evening
2017-07-04T22:00,2017-07-04,22,8777,8777,0,
