datetime,date,hour,demand,generation,loadshed,peak
2019-08-01T00:00,2019-08-01,0,11531,11531,0,
2019-08-01T01:00,2019-08-01,1,10731,10731,0,
2019-08-01T02:00,2019-08-01,2,10516,10516,0,
2019-08-01T03:00,2019-08-01,3,10153,10153,0,
2019-08-01T04:00,2019-08-01,4,9876,9876,0,
2019-08-01T05:00,2019-08-01,5,9625,9625,0,
2019-08-01T06:00,2019-08-01,6,8816,8815.5,0,
2019-08-01T07:00,2019-08-01,7,8665,8664.8,0,
2019-08-01T08:00,2019-08-01,8,8651,8651.1,0,
2019-08-01T09:00,2019-08-01,9,9238,9238.1,0,
2019-08-01T10:00,2019-08-01,10,9376,9376.1,0,
2019-08-01T11:00,2019-08-01,11,9685,9685.1,0,
2019-08-01T12:00,2019-08-01,12,9795,9795,0,day
2019-08-01T13:00,2019-08-01,13,9817,9817,0,
2019-08-01T14:00,2019-08-01,14,9847,9847.3,0,
2019-08-01T15:00,2019-08-01,15,10125,10125.1,0,
2019-08-01T16:00,2019-08-01,16,10143,10142.7,0,
2019-08-01T17:00,2019-08-01,17,9963,9962.6,0,
2019-08-01T18:00,2019-08-01,18,9387,9386.6,0,
2019-08-01T19:00,2019-08-01,19,11949,11949,0,
2019-08-01T20:00,2019-08-01,20,11750,11750,0,
2019-08-01T21:00,2019-08-01,21,12016,12016,0,evening
2019-08-01T22:00,2019-08-01,22,11774,11774,0,
2019-08-01T23:00,2019-08-01,23,11829,11829,0,
2019-08-02T00:00,2019-08-02,0,11219,11219,0,
2019-08-02T01:00,2019-08-02,1,10140,10140,0,
2019-08-02T02:00,2019-08-02,2,9783,9783,0,
2019-08-02T03:00,2019-08-02,3,9484,9484,0,
2019-08-02T04:00,2019-08-02,4,9328,9328,0,
2019-08-02T05:00,2019-08-02,5,9227,9227,0,
2019-08-02T06:00,2019-08-02,6,8628,8627.7,0,
2019-08-02T07:00,2019-08-02,7,8446,8446,0,
2019-08-02T08:00,2019-08-02,8,8272,8272,0,
2019-08-02T09:00,2019-08-02,9,8174,8173.8,0,
2019-08-02T10:00,2019-08-02,10,8156,8155.9,0,
2019-08-02T11:00,2019-08-02,11,8347,8347,0,
2019-08-02T12:00,2019-08-02,12,8456,8455.8,0,
2019-08-02T13:00,2019-08-02,13,8929,8929.1,0,
2019-08-02T14:00,2019-08-02,14,8814,8814.3,0,
2019-08-02T15:00,2019-08-02,15,9136,9136.4,0,
2019-08-02T16:00,2019-08-02,16,9124,9124,0,
2019-08-02T17:00,2019-08-02,17,8762,8762.4,0,
2019-08-02T18:00,2019-08-02,18,8188,8187.7,0,
2019-08-02T19:00,2019-08-02,19,11073,11073,0,
2019-08-02T20:00,2019-08-02,20,11321,11321,0,
2019-08-02T21:00,2019-08-02,21,11466,11466,0,evening
2019-08-02T22:00,2019-08-02,22,11244,11244,0,
2019-08-02T23:00,2019-08-02,23,11391,11391,0,
2019-08-03T00:00,2019-08-03,0,11726,11726,0,
2019-08-03T01:00,2019-08-03,1,10925,10925,0,
2019-08-03T02:00,2019-08-03,2,10650,10650,0,
2019-08-03T03:00,2019-08-03,3,10376,10376,0,
2019-08-03T04:00,2019-08-03,4,9982,9982,0,
2019-08-03T05:00,2019-08-03,5,9889,9889,0,
2019-08-03T06:00,2019-08-03,6,8837,8837,0,
2019-08-03T07:00,2019-08-03,7,8468,8468,0,
2019-08-03T08:00,2019-08-03,8,8460,8460,0,
2019-08-03T09:00,2019-08-03,9,8409,8409.4,0,
2019-08-03T10:00,2019-08-03,10,8389,8388.5,0,
2019-08-03T11:00,2019-08-03,11,8567,8566.6,0,
2019-08-03T12:00,2019-08-03,12,8875,8875,0,day
2019-08-03T13:00,2019-08-03,13,9237,9236.7,0,
2019-08-03T14:00,2019-08-03,14,9241,9240.5,0,
2019-08-03T15:00,2019-08-03,15,9649,9648.6,0,
2019-08-03T16:00,2019-08-03,16,9677,9676.6,0,
2019-08-03T17:00,2019-08-03,17,9619,9619.3,0,
2019-08-03T18:00,2019-08-03,18,9400,9400.2,0,
2019-08-03T19:00,2019-08-03,19,11856,11856,0,
2019-08-03T20:00,2019-08-03,20,12035,12035,0,evening
2019-08-03T21:00,2019-08-03,21,11853,11853,0,
2019-08-03T22:00,2019-08-03,22,12044,12044,0,
2019-08-03T23:00,2019-08-03,23,11822,11822,0,
2019-08-04T00:00,2019-08-04,0,12322,12322,0,
2019-08-04T01:00,2019-08-04,1,11372,11372,0,
2019-08-04T02:00,2019-08-04,2,10776,10776,0,
2019-08-04T03:00,2019-08-04,3,10527,10527,0,
2019-08-04T04:00,2019-08-04,4,10409,10409,0,
2019-08-04T05:00,2019-08-04,5,10393,10393,0,
2019-08-04T06:00,2019-08-04,6,9614,9614.3,0,
2019-08-04T07:00,2019-08-04,7,9214,9213.8,0,
2019-08-04T08:00,2019-08-04,8,9121,9121.4,0,
2019-08-04T09:00,2019-08-04,9,9425,9425.3,0,
2019-08-04T10:00,2019-08-04,10,9743,9742.5,0,
2019-08-04T11:00,2019-08-04,11,9745,9745.4,0,
2019-08-04T12:00,2019-08-04,12,10097,10097,0,day
2019-08-04T13:00,2019-08-04,13,10309,10309,0,
2019-08-04T14:00,2019-08-04,14,10229,10229,0,
2019-08-04T15:00,2019-08-04,15,10827,10827.3,0,
2019-08-04T16:00,2019-08-04,16,10706,10705.6,0,
2019-08-04T17:00,2019-08-04,17,10633,10632.7,0,
2019-08-04T18:00,2019-08-04,18,9975,9975.1,0,
2019-08-04T19:00,2019-08-04,19,12454,12454,0,
2019-08-04T20:00,2019-08-04,20,12568,12568,0,
2019-08-04T21:00,2019-08-04,21,12655,12655,0,evening
2019-08-04T22:00,2019-08-04,22,12546,12546,0,
2019-08-04T23:00,2019-08-04,23,12503,12503,0,
2019-08-05T00:00,2019-08-05,0,12255,12255,0,
2019-08-05T01:00,2019-08-05,1,11979,11979,0,
2019-08-05T02:00,2019-08-05,2,11530,11530,0,
2019-08-05T03:00,2019-08-05,3,11358,11358,0,
2019-08-05T04:00,2019-08-05,4,11082,11082,0,
2019-08-05T05:00,2019-08-05,5,10948,10948,0,
2019-08-05T06:00,2019-08-05,6,9679,9679,0,
2019-08-05T07:00,2019-08-05,7,9441,9440.5,0,
2019-08-05T08:00,2019-08-05,8,9612,9612.3,0,
2019-08-05T09:00,2019-08-05,9,9818,9818.3,0,
2019-08-05T10:00,2019-08-05,10,10105,10104.7,0,
2019-08-05T11:00,2019-08-05,11,10244,10244,0,
2019-08-05T12:00,2019-08-05,12,10430,10430,0,day
2019-08-05T13:00,2019-08-05,13,10662,10661.5,0,
2019-08-05T14:00,2019-08-05,14,10766,10766.2,0,
2019-08-05T15:00,2019-08-05,15,11176,11175.8,0,
2019-08-05T16:00,2019-08-05,16,11098,11097.6,0,
2019-08-05T17:00,2019-08-05,17,10605,10605.4,0,
2019-08-05T18:00,2019-08-05,18,10148,10148.2,0,
2019-08-05T19:00,2019-08-05,19,12738,12738,0,evening
2019-08-05T20:00,2019-08-05,20,12629,12629,0,
2019-08-05T21:00,2019-08-05,21,12543,12543,0,
