datetime,date,hour,demand,supply,loadshed,peak
2024-02-01T00:00,2024-02-01,0,,,0,
2024-02-01T01:00,2024-02-01,1,,,0,
2024-02-01T02:00,2024-02-01,2,,,0,
2024-02-01T03:00,2024-02-01,3,,,0,
2024-02-01T04:00,2024-02-01,4,,,0,
2024-02-01T05:00,2024-02-01,5,,,0,
2024-02-01T06:00,2024-02-01,6,,,0,
2024-02-01T07:00,2024-02-01,7,,,28,
2024-02-01T08:00,2024-02-01,8,,,95,
2024-02-01T09:00,2024-02-01,9,,,186,
2024-02-01T10:00,2024-02-01,10,,,212,
2024-02-01T11:00,2024-02-01,11,,,113,
2024-02-01T12:00,2024-02-01,12,,,272,day
2024-02-01T13:00,2024-02-01,13,,,537,
2024-02-01T14:00,2024-02-01,14,,,393,
2024-02-01T15:00,2024-02-01,15,,,378,
2024-02-01T16:00,2024-02-01,16,,,90,
2024-02-01T17:00,2024-02-01,17,,,111,
2024-02-01T18:00,2024-02-01,18,,,73,
2024-02-01T19:00,2024-02-01,19,,,0,evening
2024-02-01T20:00,2024-02-01,20,,,0,
2024-02-01T21:00,2024-02-01,21,,,0,
2024-02-01T22:00,2024-02-01,22,,,0,
2024-02-01T23:00,2024-02-01,23,,,0,
2024-02-02T00:00,2024-02-02,0,,,0,
2024-02-02T01:00,2024-02-02,1,,,0,
2024-02-02T02:00,2024-02-02,2,,,0,
2024-02-02T03:00,2024-02-02,3,,,0,
2024-02-02T04:00,2024-02-02,4,,,0,
2024-02-02T05:00,2024-02-02,5,,,0,
2024-02-02T06:00,2024-02-02,6,,,0,
2024-02-02T07:00,2024-02-02,7,,,0,
2024-02-02T08:00,2024-02-02,8,,,99,
2024-02-02T09:00,2024-02-02,9,,,88,
2024-02-02T10:00,2024-02-02,10,,,89,
2024-02-02T11:00,2024-02-02,11,,,83,
2024-02-02T12:00,2024-02-02,12,,,35,day
2024-02-02T13:00,2024-02-02,13,,,78,
2024-02-02T14:00,2024-02-02,14,,,32,
2024-02-02T15:00,2024-02-02,15,,,30,
2024-02-02T16:00,2024-02-02,16,,,0,
2024-02-02T17:00,2024-02-02,17,,,0,
2024-02-02T18:00,2024-02-02,18,,,0,
2024-02-02T19:00,2024-02-02,19,,,0,evening
2024-02-02T20:00,2024-02-02,20,,,0,
2024-02-02T21:00,2024-02-02,21,,,0,
2024-02-02T22:00,2024-02-02,22,,,0,
2024-02-02T23:00,2024-02-02,23,,,0,
2024-02-03T00:00,2024-02-03,0,,,0,
2024-02-03T01:00,2024-02-03,1,,,0,
2024-02-03T02:00,2024-02-03,2,,,0,
2024-02-03T03:00,2024-02-03,3,,,0,
2024-02-03T04:00,2024-02-03,4,,,0,
2024-02-03T05:00,2024-02-03,5,,,0,
2024-02-03T06:00,2024-02-03,6,,,0,
2024-02-03T07:00,2024-02-03,7,,,0,
2024-02-03T08:00,2024-02-03,8,,,142,
2024-02-03T09:00,2024-02-03,9,,,114,
2024-02-03T10:00,2024-02-03,10,,,0,
2024-02-03T11:00,2024-02-03,11,,,0,
2024-02-03T12:00,2024-02-03,12,,,40,day
2024-02-03T13:00,2024-02-03,13,,,35,
2024-02-03T14:00,2024-02-03,14,,,26,
2024-02-03T15:00,2024-02-03,15,,,18,
2024-02-03T16:00,2024-02-03,16,,,26,
2024-02-03T17:00,2024-02-03,17,,,26,
2024-02-03T18:00,2024-02-03,18,,,35,
2024-02-03T19:00,2024-02-03,19,,,0,evening
2024-02-03T20:00,2024-02-03,20,,,0,
2024-02-03T21:00,2024-02-03,21,,,0,
2024-02-03T22:00,2024-02-03,22,,,0,
2024-02-03T23:00,2024-02-03,23,,,0,
2024-02-04T00:00,2024-02-04,0,,,0,
2024-02-04T01:00,2024-02-04,1,,,0,
2024-02-04T02:00,2024-02-04,2,,,0,
2024-02-04T03:00,2024-02-04,3,,,0,
2024-02-04T04:00,2024-02-04,4,,,0,
2024-02-04T05:00,2024-02-04,5,,,0,
2024-02-04T06:00,2024-02-04,6,,,0,
2024-02-04T07:00,2024-02-04,7,,,0,
2024-02-04T08:00,2024-02-04,8,,,100,
2024-02-04T09:00,2024-02-04,9,,,111,
