datetime,date,hour,demand,generation,loadshed,peak
2021-05-01T00:00,2021-05-01,0,11453,11453,0,
2021-05-01T01:00,2021-05-01,1,11461,11461,0,
2021-05-01T02:00,2021-05-01,2,10926,10926,0,
2021-05-01T03:00,2021-05-01,3,10809,10809,0,
2021-05-01T04:00,2021-05-01,4,10162,10162,0,
2021-05-01T05:00,2021-05-01,5,9307,9307,0,
2021-05-01T06:00,2021-05-01,6,8620,8620,0,
2021-05-01T07:00,2021-05-01,7,8230,8230,0,
2021-05-01T08:00,2021-05-01,8,8081,8081,0,
2021-05-01T09:00,2021-05-01,9,8040,8040,0,
2021-05-01T10:00,2021-05-01,10,8143,8143,0,
2021-05-01T11:00,2021-05-01,11,8514,8514,0,
2021-05-01T12:00,2021-05-01,12,8860,8860,0,day
2021-05-01T13:00,2021-05-01,13,9313,9313,0,
2021-05-01T14:00,2021-05-01,14,9677,9677,0,
2021-05-01T15:00,2021-05-01,15,9876,9876,0,
2021-05-01T16:00,2021-05-01,16,9591,9591,0,
2021-05-01T17:00,2021-05-01,17,9299,9299,0,
2021-05-01T18:00,2021-05-01,18,9357,9357,0,
2021-05-01T19:00,2021-05-01,19,11107,11107,0,
2021-05-01T20:00,2021-05-01,20,11275,11275,0,
2021-05-01T21:00,2021-05-01,21,11665,11665,0,evening
2021-05-01T22:00,2021-05-01,22,11609,11609,0,
2021-05-01T23:00,2021-05-01,23,11658,11658,0,
2021-05-02T00:00,2021-05-02,0,9836,9836,0,
2021-05-02T01:00,2021-05-02,1,10923,10923,0,
2021-05-02T02:00,2021-05-02,2,10553,10553,0,
2021-05-02T03:00,2021-05-02,3,10676,10676,0,
2021-05-02T04:00,2021-05-02,4,10430,10430,0,
2021-05-02T05:00,2021-05-02,5,9533,9533,0,
2021-05-02T06:00,2021-05-02,6,8818,8818,0,
2021-05-02T07:00,2021-05-02,7,9014,9014,0,
2021-05-02T08:00,2021-05-02,8,9306,9306,0,
2021-05-02T09:00,2021-05-02,9,10028,10028,0,
2021-05-02T10:00,2021-05-02,10,10499,10499,0,
2021-05-02T11:00,2021-05-02,11,10971,10971,0,
2021-05-02T12:00,2021-05-02,12,11158,11158,0,day
2021-05-02T13:00,2021-05-02,13,11483,11483,0,
2021-05-02T14:00,2021-05-02,14,11949,11949,0,
2021-05-02T15:00,2021-05-02,15,12054,12054,0,
2021-05-02T16:00,2021-05-02,16,11358,11358,0,
2021-05-02T17:00,2021-05-02,17,10733,10733,0,
2021-05-02T18:00,2021-05-02,18,10714,10714,0,
2021-05-02T19:00,2021-05-02,19,12590,12590,0,
2021-05-02T20:00,2021-05-02,20,12668,12668,0,
2021-05-02T21:00,2021-05-02,21,12738,12738,0,
2021-05-02T22:00,2021-05-02,22,11800,11800,0,
2021-05-02T23:00,2021-05-02,23,9730,9730,0,
2021-05-03T00:00,2021-05-03,0,10017,10017,0,
2021-05-03T01:00,2021-05-03,1,9701,9701,0,
2021-05-03T02:00,2021-05-03,2,9726,9726,0,
2021-05-03T03:00,2021-05-03,3,9987,9987,0,
2021-05-03T04:00,2021-05-03,4,9638,9638,0,
2021-05-03T05:00,2021-05-03,5,8970,8970,0,
2021-05-03T06:00,2021-05-03,6,8411,8411,0,
2021-05-03T07:00,2021-05-03,7,8431,8431,0,
2021-05-03T08:00,2021-05-03,8,8497,8497,0,
2021-05-03T09:00,2021-05-03,9,9185,9185,0,
2021-05-03T10:00,2021-05-03,10,9619,9619,0,
2021-05-03T11:00,2021-05-03,11,9912,9912,0,
2021-05-03T12:00,2021-05-03,12,10219,10219,0,day
2021-05-03T13:00,2021-05-03,13,10516,10516,0,
2021-05-03T14:00,2021-05-03,14,11055,11055,0,
2021-05-03T15:00,2021-05-03,15,11193,11193,0,
2021-05-03T16:00,2021-05-03,16,11013,11013,0,
2021-05-03T17:00,2021-05-03,17,10817,10817,0,
2021-05-03T18:00,2021-05-03,18,10705,10705,0,
2021-05-03T19:00,2021-05-03,19,12755,12755,0,
2021-05-03T20:00,2021-05-03,20,12819,12819,0,
2021-05-03T21:00,2021-05-03,21,12943,12943,0,evening
2021-05-03T22:00,2021-05-03,22,12347,12347,0,
2021-05-03T23:00,2021-05-03,23,10956,10956,0,
2021-05-04T00:00,2021-05-04,0,10281,10281,0,
2021-05-04T01:00,2021-05-04,1,8787,8787,0,
2021-05-04T02:00,2021-05-04,2,8255,8255,0,
2021-05-04T03:00,2021-05-04,3,8780,8780,0,
2021-05-04T04:00,2021-05-04,4,8719,8719,0,
2021-05-04T05:00,2021-05-04,5,8157,8157,0,
2021-05-04T06:00,2021-05-04,6,7650,7650,0,
2021-05-04T07:00,2021-05-04,7,7763,7763,0,
2021-05-04T08:00,2021-05-04,8,8083,8083,0,
2021-05-04T09:00,2021-05-04,9,8473,8473,0,
2021-05-04T10:00,2021-05-04,10,9052,9052,0,
2021-05-04T11:00,2021-05-04,11,9306,9306,0,
2021-05-04T12:00,2021-05-04,12,9490,9490,0,day
2021-05-04T13:00,2021-05-04,13,9208,9208,0,
2021-05-04T14:00,2021-05-04,14,9360,9360,0,
2021-05-04T15:00,2021-05-04,15,9416,9416,0,
