datetime,date,hour,demand,generation,loadshed,peak
2021-02-01T00:00,2021-02-01,0,6848,6848,0,
2021-02-01T01:00,2021-02-01,1,6374,6374,0,
2021-02-01T02:00,2021-02-01,2,5947,5947,0,
2021-02-01T03:00,2021-02-01,3,5820,5820,0,
2021-02-01T04:00,2021-02-01,4,5644,5644,0,
2021-02-01T05:00,2021-02-01,5,5589,5589,0,
2021-02-01T06:00,2021-02-01,6,5871,5871,0,
2021-02-01T07:00,2021-02-01,7,6153,6153,0,
2021-02-01T08:00,2021-02-01,8,6965,6965,0,
2021-02-01T09:00,2021-02-01,9,7276,7276,0,
2021-02-01T10:00,2021-02-01,10,7616,7616,0,
2021-02-01T11:00,2021-02-01,11,7678,7678,0,
2021-02-01T12:00,2021-02-01,12,7901,7901,0,day
2021-02-01T13:00,2021-02-01,13,8077,8077,0,
2021-02-01T14:00,2021-02-01,14,7884,7884,0,
2021-02-01T15:00,2021-02-01,15,7521,7521,0,
2021-02-01T16:00,2021-02-01,16,7157,7157,0,
2021-02-01T17:00,2021-02-01,17,7282,7282,0,
2021-02-01T18:00,2021-02-01,18,8229,8229,0,
2021-02-01T19:00,2021-02-01,19,9047,9047,0,evening
2021-02-01T20:00,2021-02-01,20,9017,9017,0,
2021-02-01T21:00,2021-02-01,21,8654,8654,0,
2021-02-01T22:00,2021-02-01,22,7918,7918,0,
2021-02-01T23:00,2021-02-01,23,7452,7452,0,
2021-02-02T00:00,2021-02-02,0,7125,7125,0,
2021-02-02T01:00,2021-02-02,1,6298,6298,0,
2021-02-02T02:00,2021-02-02,2,5971,5971,0,
2021-02-02T03:00,2021-02-02,3,5819,5819,0,
2021-02-02T04:00,2021-02-02,4,5648,5648,0,
2021-02-02T05:00,2021-02-02,5,5579,5579,0,
2021-02-02T06:00,2021-02-02,6,5883,5883,0,
2021-02-02T07:00,2021-02-02,7,6452,6452,0,
2021-02-02T08:00,2021-02-02,8,7201,7201,0,
2021-02-02T09:00,2021-02-02,9,7649,7649,0,
2021-02-02T10:00,2021-02-02,10,7782,7782,0,
2021-02-02T11:00,2021-02-02,11,7844,7844,0,
2021-02-02T12:00,2021-02-02,12,7990,7990,0,day
2021-02-02T13:00,2021-02-02,13,8230,8230,0,
2021-02-02T14:00,2021-02-02,14,7889,7889,0,
2021-02-02T15:00,2021-02-02,15,7546,7546,0,
2021-02-02T16:00,2021-02-02,16,7234,7234,0,
2021-02-02T17:00,2021-02-02,17,7274,7274,0,
2021-02-02T18:00,2021-02-02,18,8344,8344,0,
2021-02-02T19:00,2021-02-02,19,9118,9118,0,
2021-02-02T20:00,2021-02-02,20,9064,9064,0,
2021-02-02T21:00,2021-02-02,21,8729,8729,0,
2021-02-02T22:00,2021-02-02,22,8254,8254,0,
2021-02-02T23:00,2021-02-02,23,7595,7595,0,
2021-02-03T00:00,2021-02-03,0,7116,7116,0,
2021-02-03T01:00,2021-02-03,1,6377,6377,0,
2021-02-03T02:00,2021-02-03,2,6080,6080,0,
2021-02-03T03:00,2021-02-03,3,5864,5864,0,
2021-02-03T04:00,2021-02-03,4,5794,5794,0,
2021-02-03T05:00,2021-02-03,5,5643,5643,0,
2021-02-03T06:00,2021-02-03,6,5945,5945,0,
2021-02-03T07:00,2021-02-03,7,6547,6547,0,
2021-02-03T08:00,2021-02-03,8,7329,7329,0,
2021-02-03T09:00,2021-02-03,9,7780,7780,0,
2021-02-03T10:00,2021-02-03,10,7784,7784,0,
2021-02-03T11:00,2021-02-03,11,7786,7786,0,
2021-02-03T12:00,2021-02-03,12,7975,7975,0,day
2021-02-03T13:00,2021-02-03,13,8251,8251,0,
2021-02-03T14:00,2021-02-03,14,7736,7736,0,
2021-02-03T15:00,2021-02-03,15,7600,7600,0,
2021-02-03T16:00,2021-02-03,16,7341,7341,0,
2021-02-03T17:00,2021-02-03,17,7527,7527,0,
2021-02-03T18:00,2021-02-03,18,8537,8537,0,
2021-02-03T19:00,2021-02-03,19,9163,9163,0,evening
2021-02-03T20:00,2021-02-03,20,9074,9074,0,
2021-02-03T21:00,2021-02-03,21,8748,8748,0,
2021-02-03T22:00,2021-02-03,22,8238,8238,0,
2021-02-03T23:00,2021-02-03,23,7627,7627,0,
2021-02-04T00:00,2021-02-04,0,7163,7163,0,
2021-02-04T01:00,2021-02-04,1,6531,6531,0,
2021-02-04T02:00,2021-02-04,2,6119,6119,0,
2021-02-04T03:00,2021-02-04,3,6044,6044,0,
2021-02-04T04:00,2021-02-04,4,5797,5797,0,
2021-02-04T05:00,2021-02-04,5,5794,5794,0,
2021-02-04T06:00,2021-02-04,6,5997,5997,0,
2021-02-04T07:00,2021-02-04,7,6510,6510,0,
2021-02-04T08:00,2021-02-04,8,7321,7321,0,
2021-02-04T09:00,2021-02-04,9,7936,7936,0,
2021-02-04T10:00,2021-02-04,10,8016,8016,0,
2021-02-04T11:00,2021-02-04,11,7981,7981,0,
2021-02-04T12:00,2021-02-04,12,8234,8234,0,day
2021-02-04T13:00,2021-02-04,13,8243,8243,0,
2021-02-04T14:00,2021-02-04,14,7846,7846,0,
2021-02-04T15:00,2021-02-04,15,7643,7643,0,
2021-02-04T16:00,2021-02-04,16,7483,7483,0,
2021-02-04T17:00,2021-02-04,17,7410,7410,0,
2021-02-04T18:00,2021-02-04,18,8204,8204,0,
2021-02-04T19:00,2021-02-04,19,9152,9152,0,evening
2021-02-04T20:00,2021-02-04,20,9081,9081,0,
2021-02-04T21:00,2021-02-04,21,8812,8812,0,
2021-02-04T22:00,2021-02-04,22,8349,8349,0,
2021-02-04T23:00,2021-02-04,23,7557,7557,0,
2021-02-05T00:00,2021-02-05,0,6668,6668,0,
2021-02-05T01:00,2021-02-05,1,6569,6569,0,
2021-02-05T02:00,2021-02-05,2,6214,6214,0,
2021-02-05T03:00,2021-02-05,3,6084,6084,0,
2021-02-05T04:00,2021-02-05,4,5873,5873,0,
2021-02-05T05:00,2021-02-05,5,5859,5859,0,
2021-02-05T06:00,2021-02-05,6,6087,6087,0,
2021-02-05T07:00,2021-02-05,7,6167,6167,0,
2021-02-05T08:00,2021-02-05,8,6700,6700,0,
2021-02-05T09:00,2021-02-05,9,6894,6894,0,day
2021-02-05T10:00,2021-02-05,10,6744,6744,0,
2021-02-05T11:00,2021-02-05,11,6728,6728,0,
2021-02-05T12:00,2021-02-05,12,6870,6870,0,
2021-02-05T13:00,2021-02-05,13,7288,7288,0,
2021-02-05T14:00,2021-02-05,14,6239,6239,0,
2021-02-05T15:00,2021-02-05,15,6007,6007,0,
2021-02-05T16:00,2021-02-05,16,5808,5808,0,
2021-02-05T17:00,2021-02-05,17,5924,5924,0,
2021-02-05T18:00,2021-02-05,18,6886,6886,0,
2021-02-05T19:00,2021-02-05,19,8291,8291,0,evening
2021-02-05T20:00,2021-02-05,20,8288,8288,0,
2021-02-05T21:00,2021-02-05,21,8200,8200,0,
2021-02-05T22:00,2021-02-05,22,7647,7647,0,
2021-02-05T23:00,2021-02-05,23,7129,7129,0,
2021-02-06T00:00,2021-02-06,0,7042,7042,0,
2021-02-06T01:00,2021-02-06,1,6225,6225,0,
2021-02-06T02:00,2021-02-06,2,5770,5770,0,
2021-02-06T03:00,2021-02-06,3,5646,5646,0,
2021-02-06T04:00,2021-02-06,4,5555,5555,0,
2021-02-06T05:00,2021-02-06,5,5490,5490,0,
2021-02-06T06:00,2021-02-06,6,5731,5731,0,
2021-02-06T07:00,2021-02-06,7,6349,6349,0,
2021-02-06T08:00,2021-02-06,8,6957,6957,0,
2021-02-06T09:00,2021-02-06,9,7402,7402,0,
2021-02-06T10:00,2021-02-06,10,7264,7264,0,
2021-02-06T11:00,2021-02-06,11,7360,7360,0,
2021-02-06T12:00,2021-02-06,12,7523,7523,0,day
2021-02-06T13:00,2021-02-06,13,7572,7572,0,
2021-02-06T14:00,2021-02-06,14,7462,7462,0,
2021-02-06T15:00,2021-02-06,15,7326,7326,0,
2021-02-06T16:00,2021-02-06,16,7065,7065,0,
2021-02-06T17:00,2021-02-06,17,7120,7120,0,
2021-02-06T18:00,2021-02-06,18,8026,8026,0,
2021-02-06T19:00,2021-02-06,19,9234,9234,0,evening
2021-02-06T20:00,2021-02-06,20,9100,9100,0,
2021-02-06T21:00,2021-02-06,21,8907,8907,0,
2021-02-06T22:00,2021-02-06,22,8386,8386,0,
2021-02-06T23:00,2021-02-06,23,7569,7569,0,
2021-02-07T00:00,2021-02-07,0,7174,7174,0,
2021-02-07T01:00,2021-02-07,1,6548,6548,0,
2021-02-07T02:00,2021-02-07,2,6178,6178,0,
2021-02-07T03:00,2021-02-07,3,5961,5961,0,
2021-02-07T04:00,2021-02-07,4,5852,5852,0,
2021-02-07T05:00,2021-02-07,5,5790,5790,0,
2021-02-07T06:00,2021-02-07,6,6229,6229,0,
2021-02-07T07:00,2021-02-07,7,6654,6654,0,
2021-02-07T08:00,2021-02-07,8,7399,7399,0,
2021-02-07T09:00,2021-02-07,9,8094,8094,0,
2021-02-07T10:00,2021-02-07,10,8045,8045,0,
2021-02-07T11:00,2021-02-07,11,7990,7990,0,
2021-02-07T12:00,2021-02-07,12,8127,8127,0,day
2021-02-07T13:00,2021-02-07,13,8185,8185,0,
2021-02-07T14:00,2021-02-07,14,7879,7879,0,
2021-02-07T15:00,2021-02-07,15,7605,7605,0,
2021-02-07T16:00,2021-02-07,16,7321,7321,0,
2021-02-07T17:00,2021-02-07,17,7392,7392,0,
2021-02-07T18:00,2021-02-07,18,8033,8033,0,
2021-02-07T19:00,2021-02-07,19,9201,9201,0,evening
