datetime,date,hour,demand,supply,loadshed,peak
2024-08-01T00:00,2024-08-01,0,,,48,
2024-08-01T01:00,2024-08-01,1,,,984,
2024-08-01T02:00,2024-08-01,2,,,709,
2024-08-01T03:00,2024-08-01,3,,,709,
2024-08-01T04:00,2024-08-01,4,,,658,
2024-08-01T05:00,2024-08-01,5,,,599,
2024-08-01T06:00,2024-08-01,6,,,501,
2024-08-01T07:00,2024-08-01,7,,,491,
2024-08-01T08:00,2024-08-01,8,,,603,
2024-08-01T09:00,2024-08-01,9,,,467,
2024-08-01T10:00,2024-08-01,10,,,259,
2024-08-01T11:00,2024-08-01,11,,,260,
2024-08-01T12:00,2024-08-01,12,,,383,day
2024-08-01T13:00,2024-08-01,13,,,495,
2024-08-01T14:00,2024-08-01,14,,,161,
2024-08-01T15:00,2024-08-01,15,,,0,
2024-08-01T16:00,2024-08-01,16,,,32,
2024-08-01T17:00,2024-08-01,17,,,54,
2024-08-01T18:00,2024-08-01,18,,,0,
2024-08-01T19:00,2024-08-01,19,,,0,evening
2024-08-01T20:00,2024-08-01,20,,,0,
2024-08-01T21:00,2024-08-01,21,,,0,
2024-08-01T22:00,2024-08-01,22,,,0,
2024-08-01T23:00,2024-08-01,23,,,0,
2024-08-02T00:00,2024-08-02,0,,,0,
2024-08-02T01:00,2024-08-02,1,,,0,
2024-08-02T02:00,2024-08-02,2,,,0,
2024-08-02T03:00,2024-08-02,3,,,0,
2024-08-02T04:00,2024-08-02,4,,,0,
2024-08-02T05:00,2024-08-02,5,,,0,
2024-08-02T06:00,2024-08-02,6,,,0,
2024-08-02T07:00,2024-08-02,7,,,0,
2024-08-02T08:00,2024-08-02,8,,,0,
2024-08-02T09:00,2024-08-02,9,,,0,
2024-08-02T10:00,2024-08-02,10,,,0,
2024-08-02T11:00,2024-08-02,11,,,0,
2024-08-02T12:00,2024-08-02,12,,,0,day
2024-08-02T13:00,2024-08-02,13,,,0,
2024-08-02T14:00,2024-08-02,14,,,0,
2024-08-02T15:00,2024-08-02,15,,,0,
2024-08-02T16:00,2024-08-02,16,,,0,
2024-08-02T17:00,2024-08-02,17,,,0,
2024-08-02T18:00,2024-08-02,18,,,0,
2024-08-02T19:00,2024-08-02,19,,,0,
2024-08-02T20:00,2024-08-02,20,,,0,
2024-08-02T21:00,2024-08-02,21,,,0,evening
2024-08-02T22:00,2024-08-02,22,,,0,
2024-08-02T23:00,2024-08-02,23,,,0,
2024-08-03T00:00,2024-08-03,0,,,148,
2024-08-03T01:00,2024-08-03,1,,,0,
2024-08-03T02:00,2024-08-03,2,,,0,
2024-08-03T03:00,2024-08-03,3,,,0,
2024-08-03T05:00,2024-08-03,5,,,0,
2024-08-03T06:00,2024-08-03,6,,,0,
2024-08-03T07:00,2024-08-03,7,,,0,
2024-08-03T08:00,2024-08-03,8,,,0,
2024-08-03T09:00,2024-08-03,9,,,0,
2024-08-03T10:00,2024-08-03,10,,,0,
2024-08-03T11:00,2024-08-03,11,,,0,
2024-08-03T12:00,2024-08-03,12,,,50,day
2024-08-03T13:00,2024-08-03,13,,,77,
2024-08-03T14:00,2024-08-03,14,,,0,
2024-08-03T15:00,2024-08-03,15,,,0,
2024-08-03T16:00,2024-08-03,16,,,0,
2024-08-03T17:00,2024-08-03,17,,,0,
2024-08-03T18:00,2024-08-03,18,,,0,
2024-08-03T19:00,2024-08-03,19,,,0,evening
2024-08-03T20:00,2024-08-03,20,,,0,
2024-08-03T21:00,2024-08-03,21,,,102,
