datetime,date,hour,demand,generation,loadshed,peak
2019-12-01T00:00,2019-12-01,0,6591,6591,0,
2019-12-01T01:00,2019-12-01,1,6277,6277,0,
2019-12-01T02:00,2019-12-01,2,6049,6049,0,
2019-12-01T03:00,2019-12-01,3,5825,5825,0,
2019-12-01T04:00,2019-12-01,4,5708,5708,0,
2019-12-01T05:00,2019-12-01,5,5630,5630,0,
2019-12-01T06:00,2019-12-01,6,5711,5711,0,
2019-12-01T07:00,2019-12-01,7,6122,6122.2,0,
2019-12-01T08:00,2019-12-01,8,6396,6396.4,0,
2019-12-01T09:00,2019-12-01,9,6576,6575.9,0,
2019-12-01T10:00,2019-12-01,10,6583,6582.5,0,
2019-12-01T11:00,2019-12-01,11,6747,6746.6,0,
2019-12-01T12:00,2019-12-01,12,7012,7011.5,0,day
2019-12-01T13:00,2019-12-01,13,7227,7227.3,0,
2019-12-01T14:00,2019-12-01,14,6769,6768.7,0,
2019-12-01T15:00,2019-12-01,15,6923,6923.1,0,
2019-12-01T16:00,2019-12-01,16,6867,6866.7,0,
2019-12-01T17:00,2019-12-01,17,7146,7146.3,0,
2019-12-01T18:00,2019-12-01,18,8627,8627,0,
2019-12-01T19:00,2019-12-01,19,8618,8618,0,
2019-12-01T20:00,2019-12-01,20,8503,8503,0,
2019-12-01T21:00,2019-12-01,21,8173,8173,0,
2019-12-01T22:00,2019-12-01,22,7594,7594,0,
2019-12-01T23:00,2019-12-01,23,7078,7078,0,
2019-12-02T00:00,2019-12-02,0,6404,6404,0,
2019-12-02T01:00,2019-12-02,1,6029,6029,0,
2019-12-02T02:00,2019-12-02,2,5751,5751,0,
2019-12-02T03:00,2019-12-02,3,5677,5677,0,
2019-12-02T04:00,2019-12-02,4,5512,5512,0,
2019-12-02T05:00,2019-12-02,5,5471,5471,0,
2019-12-02T06:00,2019-12-02,6,5599,5599,0,
2019-12-02T07:00,2019-12-02,7,5835,5835.3,0,
2019-12-02T08:00,2019-12-02,8,6324,6323.8,0,
2019-12-02T09:00,2019-12-02,9,6452,6451.5,0,
2019-12-02T10:00,2019-12-02,10,6351,6350.8,0,
2019-12-02T11:00,2019-12-02,11,6526,6526.3,0,
2019-12-02T12:00,2019-12-02,12,6666,6665.6,0,day
2019-12-02T13:00,2019-12-02,13,7019,7019,0,
2019-12-02T14:00,2019-12-02,14,6567,6566.6,0,
2019-12-02T15:00,2019-12-02,15,6616,6615.7,0,
2019-12-02T16:00,2019-12-02,16,6548,6548.3,0,
2019-12-02T17:00,2019-12-02,17,6874,6874.1,0,
2019-12-02T18:00,2019-12-02,18,8320,8320,0,
2019-12-02T19:00,2019-12-02,19,8344,8344,0,evening
2019-12-02T20:00,2019-12-02,20,8259,8259,0,
2019-12-02T21:00,2019-12-02,21,7957,7957,0,
2019-12-02T22:00,2019-12-02,22,7359,7359,0,
2019-12-02T23:00,2019-12-02,23,6771,6771,0,
2019-12-03T00:00,2019-12-03,0,6419,6419,0,
2019-12-03T01:00,2019-12-03,1,5850,5850,0,
2019-12-03T02:00,2019-12-03,2,5659,5659,0,
2019-12-03T03:00,2019-12-03,3,5428,5428,0,
2019-12-03T04:00,2019-12-03,4,5381,5381,0,
2019-12-03T05:00,2019-12-03,5,5287,5287,0,
2019-12-03T06:00,2019-12-03,6,5608,5608,0,
2019-12-03T07:00,2019-12-03,7,5896,5896,0,
2019-12-03T08:00,2019-12-03,8,6243,6242.8,0,
2019-12-03T09:00,2019-12-03,9,6332,6331.7,0,
2019-12-03T10:00,2019-12-03,10,6423,6423,0,
2019-12-03T11:00,2019-12-03,11,6519,6519.4,0,
2019-12-03T12:00,2019-12-03,12,6761,6760.9,0,day
2019-12-03T13:00,2019-12-03,13,6981,6981.3,0,
2019-12-03T14:00,2019-12-03,14,6639,6639.3,0,
2019-12-03T15:00,2019-12-03,15,6642,6641.7,0,
2019-12-03T16:00,2019-12-03,16,6592,6592,0,
2019-12-03T17:00,2019-12-03,17,7010,7010.3,0,
2019-12-03T18:00,2019-12-03,18,8315,8315,0,
2019-12-03T19:00,2019-12-03,19,8334,8334,0,evening
2019-12-03T20:00,2019-12-03,20,8266,8266,0,
2019-12-03T21:00,2019-12-03,21,8005,8005,0,
2019-12-03T22:00,2019-12-03,22,7418,7418,0,
2019-12-03T23:00,2019-12-03,23,6844,6844,0,
2019-12-04T00:00,2019-12-04,0,6369,6369,0,
2019-12-04T01:00,2019-12-04,1,5854,5854,0,
2019-12-04T02:00,2019-12-04,2,5576,5576,0,
2019-12-04T03:00,2019-12-04,3,5392,5392,0,
2019-12-04T04:00,2019-12-04,4,5315,5315,0,
2019-12-04T05:00,2019-12-04,5,5243,5243,0,
2019-12-04T06:00,2019-12-04,6,5409,5409,0,
2019-12-04T07:00,2019-12-04,7,5808,5808.1,0,
2019-12-04T08:00,2019-12-04,8,5809,5809,0,
2019-12-04T09:00,2019-12-04,9,6183,6182.6,0,
2019-12-04T10:00,2019-12-04,10,6303,6302.8,0,
2019-12-04T11:00,2019-12-04,11,6580,6580.4,0,
2019-12-04T12:00,2019-12-04,12,6876,6876,0,day
2019-12-04T13:00,2019-12-04,13,6952,6951.8,0,
2019-12-04T14:00,2019-12-04,14,6589,6588.9,0,
2019-12-04T15:00,2019-12-04,15,6679,6679.2,0,
2019-12-04T16:00,2019-12-04,16,6594,6593.9,0,
2019-12-04T17:00,2019-12-04,17,6845,6845.3,0,
2019-12-04T18:00,2019-12-04,18,8429,8429,0,
2019-12-04T19:00,2019-12-04,19,8528,8528,0,evening
2019-12-04T20:00,2019-12-04,20,8390,8390,0,
2019-12-04T21:00,2019-12-04,21,8137,8137,0,
2019-12-04T22:00,2019-12-04,22,7508,7508,0,
2019-12-04T23:00,2019-12-04,23,6816,6816,0,
2019-12-05T00:00,2019-12-05,0,6488,6488,0,
2019-12-05T01:00,2019-12-05,1,5918,5918,0,
2019-12-05T02:00,2019-12-05,2,5552,5552,0,
2019-12-05T03:00,2019-12-05,3,5335,5335,0,
2019-12-05T04:00,2019-12-05,4,5251,5251,0,
2019-12-05T05:00,2019-12-05,5,5196,5196,0,
2019-12-05T06:00,2019-12-05,6,5300,5300,0,
2019-12-05T07:00,2019-12-05,7,5860,5860.1,0,
2019-12-05T08:00,2019-12-05,8,6194,6194.1,0,
2019-12-05T09:00,2019-12-05,9,6549,6548.9,0,
2019-12-05T10:00,2019-12-05,10,6517,6517.2,0,
2019-12-05T11:00,2019-12-05,11,6625,6625.3,0,
2019-12-05T12:00,2019-12-05,12,6913,6913,0,day
2019-12-05T14:00,2019-12-05,14,6737,6737.4,0,
2019-12-05T15:00,2019-12-05,15,6759,6758.8,0,
2019-12-05T16:00,2019-12-05,16,6684,6684,0,
2019-12-05T17:00,2019-12-05,17,6956,6956.3,0,
2019-12-05T18:00,2019-12-05,18,8538,8538,0,
2019-12-05T19:00,2019-12-05,19,8455,8455,0,
2019-12-05T20:00,2019-12-05,20,8342,8342,0,
2019-12-05T21:00,2019-12-05,21,8147,8147,0,
2019-12-05T22:00,2019-12-05,22,7477,7477,0,
2019-12-05T23:00,2019-12-05,23,6871,6871,0,
2019-12-06T00:00,2019-12-06,0,6044,6044,0,
2019-12-06T01:00,2019-12-06,1,5974,5974,0,
2019-12-06T02:00,2019-12-06,2,5729,5729,0,
2019-12-06T03:00,2019-12-06,3,5589,5589,0,
2019-12-06T04:00,2019-12-06,4,5405,5405,0,
2019-12-06T05:00,2019-12-06,5,5338,5338,0,
2019-12-06T06:00,2019-12-06,6,5432,5432,0,
2019-12-06T07:00,2019-12-06,7,5382,5381.7,0,
2019-12-06T08:00,2019-12-06,8,5447,5446.6,0,
2019-12-06T09:00,2019-12-06,9,5302,5302.4,0,
2019-12-06T10:00,2019-12-06,10,5241,5241.1,0,
2019-12-06T11:00,2019-12-06,11,5380,5379.6,0,
2019-12-06T12:00,2019-12-06,12,5734,5734.3,0,day
2019-12-06T13:00,2019-12-06,13,5888,5887.8,0,
2019-12-06T14:00,2019-12-06,14,5444,5444.2,0,
2019-12-06T15:00,2019-12-06,15,5304,5304.4,0,
2019-12-06T16:00,2019-12-06,16,5285,5284.6,0,
2019-12-06T17:00,2019-12-06,17,5555,5555.1,0,
2019-12-06T18:00,2019-12-06,18,7360,7360,0,
2019-12-06T19:00,2019-12-06,19,7568,7568,0,evening
2019-12-06T20:00,2019-12-06,20,7551,7551,0,
2019-12-06T21:00,2019-12-06,21,7419,7419,0,
2019-12-06T22:00,2019-12-06,22,6817,6817,0,
2019-12-06T23:00,2019-12-06,23,6353,6353,0,
2019-12-07T00:00,2019-12-07,0,6444,6444,0,
2019-12-07T01:00,2019-12-07,1,5404,5404,0,
2019-12-07T02:00,2019-12-07,2,5339,5339,0,
2019-12-07T03:00,2019-12-07,3,5066,5066,0,
2019-12-07T04:00,2019-12-07,4,4966,4966,0,
2019-12-07T05:00,2019-12-07,5,4858,4858,0,
2019-12-07T06:00,2019-12-07,6,5187,5787,0,
2019-12-07T07:00,2019-12-07,7,5570,5569.9,0,
2019-12-07T08:00,2019-12-07,8,6031,6030.5,0,
2019-12-07T09:00,2019-12-07,9,6018,6018.2,0,
2019-12-07T10:00,2019-12-07,10,5805,5804.6,0,
2019-12-07T11:00,2019-12-07,11,6030,6029.9,0,
2019-12-07T12:00,2019-12-07,12,6361,6360.5,0,day
2019-12-07T13:00,2019-12-07,13,6500,6499.5,0,
2019-12-07T14:00,2019-12-07,14,6173,6172.5,0,
2019-12-07T15:00,2019-12-07,15,6227,6226.6,0,
2019-12-07T16:00,2019-12-07,16,6177,6177.3,0,
2019-12-07T17:00,2019-12-07,17,6448,6448.1,0,
2019-12-07T18:00,2019-12-07,18,8308,8308,0,
2019-12-07T19:00,2019-12-07,19,8333,8333,0,evening
