datetime,date,hour,demand,generation,loadshed,peak
2022-11-01T00:00,2022-11-01,0,10930,10220,654,
2022-11-01T01:00,2022-11-01,1,9918,9422,457,
2022-11-01T02:00,2022-11-01,2,9514,9212,279,
2022-11-01T03:00,2022-11-01,3,9197,9028,156,
2022-11-01T04:00,2022-11-01,4,8854,8854,0,
2022-11-01T05:00,2022-11-01,5,8783,8783,0,
2022-11-01T06:00,2022-11-01,6,8748,8748,0,
2022-11-01T07:00,2022-11-01,7,9000,8863,126,
2022-11-01T08:00,2022-11-01,8,9100,8587,473,
2022-11-01T09:00,2022-11-01,9,9250,8663,541,
2022-11-01T10:00,2022-11-01,10,9550,8877,620,
2022-11-01T11:00,2022-11-01,11,10150,9447,648,
2022-11-01T12:00,2022-11-01,12,10500,9755,687,
2022-11-01T13:00,2022-11-01,13,10550,9707,777,
2022-11-01T14:00,2022-11-01,14,10600,9732,800,
2022-11-01T15:00,2022-11-01,15,10700,9756,870,
2022-11-01T16:00,2022-11-01,16,10450,9378,988,
2022-11-01T17:00,2022-11-01,17,10600,9545,972,
2022-11-01T18:00,2022-11-01,18,12000,11196,741,
2022-11-01T19:00,2022-11-01,19,12450,11662,726,
2022-11-01T20:00,2022-11-01,20,12350,11710,590,evening
2022-11-01T21:00,2022-11-01,21,12300,11680,571,
2022-11-01T22:00,2022-11-01,22,11950,11360,544,
2022-11-01T23:00,2022-11-01,23,11299,11096,187,
2022-11-02T00:00,2022-11-02,0,10400,10039,333,
2022-11-02T01:00,2022-11-02,1,10278,9592,632,
2022-11-02T02:00,2022-11-02,2,9762,9542,203,
2022-11-02T03:00,2022-11-02,3,9426,9426,0,
2022-11-02T04:00,2022-11-02,4,9167,9167,0,
2022-11-02T05:00,2022-11-02,5,9044,9044,0,
2022-11-02T06:00,2022-11-02,6,9023,9023,0,
2022-11-02T07:00,2022-11-02,7,9197,9084,104,
2022-11-02T08:00,2022-11-02,8,9350,8712,588,
2022-11-02T09:00,2022-11-02,9,9760,8795,889,
2022-11-02T10:00,2022-11-02,10,10053,9226,762,
2022-11-02T11:00,2022-11-02,11,10189,9547,592,
2022-11-02T12:00,2022-11-02,12,10478,9829,598,day
2022-11-02T13:00,2022-11-02,13,10700,9734,890,
2022-11-02T14:00,2022-11-02,14,10640,9569,987,
2022-11-02T15:00,2022-11-02,15,10840,9653,1094,
2022-11-02T16:00,2022-11-02,16,10880,9400,1364,
2022-11-02T17:00,2022-11-02,17,10800,9663,1048,
2022-11-02T18:00,2022-11-02,18,12360,10906,1340,
2022-11-02T19:00,2022-11-02,19,12160,11816,317,evening
2022-11-02T20:00,2022-11-02,20,12030,11770,240,
2022-11-02T21:00,2022-11-02,21,11805,11746,54,
2022-11-02T22:00,2022-11-02,22,11274,11233,38,
2022-11-02T23:00,2022-11-02,23,10912,10878,31,
2022-11-03T00:00,2022-11-03,0,9673,9673,0,
2022-11-03T01:00,2022-11-03,1,9832,9569,348,
2022-11-03T02:00,2022-11-03,2,9296,9296,0,
2022-11-03T03:00,2022-11-03,3,9129,9129,0,
2022-11-03T04:00,2022-11-03,4,8851,8851,0,
2022-11-03T05:00,2022-11-03,5,8719,8719,0,
2022-11-03T06:00,2022-11-03,6,8666,8666,0,
2022-11-03T07:00,2022-11-03,7,8761,8761,0,
2022-11-03T08:00,2022-11-03,8,9210,8839,342,
2022-11-03T09:00,2022-11-03,9,9617,9133,446,
2022-11-03T10:00,2022-11-03,10,9518,9121,366,
2022-11-03T11:00,2022-11-03,11,9646,9225,388,
2022-11-03T12:00,2022-11-03,12,10129,9802,301,day
2022-11-03T13:00,2022-11-03,13,10401,9939,426,
2022-11-03T14:00,2022-11-03,14,10158,9702,420,
2022-11-03T15:00,2022-11-03,15,10146,9562,538,
2022-11-03T16:00,2022-11-03,16,9820,9125,640,
2022-11-03T17:00,2022-11-03,17,9765,9227,496,
2022-11-03T18:00,2022-11-03,18,11380,10806,529,
2022-11-03T19:00,2022-11-03,19,11280,11280,0,evening
