datetime,date,hour,demand,generation,loadshed,peak
2016-02-01T00:00,2016-02-01,0,4802,4802,0,
2016-02-01T01:00,2016-02-01,1,4579,4579,0,
2016-02-01T02:00,2016-02-01,2,4412,4412,0,
2016-02-01T03:00,2016-02-01,3,4206,4206,0,
2016-02-01T04:00,2016-02-01,4,4082,4082,0,
2016-02-01T05:00,2016-02-01,5,4007,4007,0,
2016-02-01T06:00,2016-02-01,6,4302,4302,0,
2016-02-01T07:00,2016-02-01,7,4761,4761,0,
2016-02-01T08:00,2016-02-01,8,5317,5317,0,
2016-02-01T09:00,2016-02-01,9,5599,5599,0,
2016-02-01T10:00,2016-02-01,10,5618,5618,0,
2016-02-01T11:00,2016-02-01,11,5751,5751,0,
2016-02-01T12:00,2016-02-01,12,5837,5837,0,day
2016-02-01T13:00,2016-02-01,13,5746,5746,0,
2016-02-01T14:00,2016-02-01,14,5325,5325,0,
2016-02-01T15:00,2016-02-01,15,5393,5393,0,
2016-02-01T16:00,2016-02-01,16,5445,5445,0,
2016-02-01T17:00,2016-02-01,17,5448,5448,0,
2016-02-01T18:00,2016-02-01,18,6945,6945,0,
2016-02-01T19:00,2016-02-01,19,7024,7024,0,evening
2016-02-01T20:00,2016-02-01,20,6943,6943,0,
2016-02-01T21:00,2016-02-01,21,6817,6817,0,
2016-02-01T22:00,2016-02-01,22,6259,6259,0,
2016-02-01T23:00,2016-02-01,23,5500,5500,0,
2016-02-02T00:00,2016-02-02,0,5196,5196,0,
2016-02-02T01:00,2016-02-02,1,4523,4523,0,
2016-02-02T02:00,2016-02-02,2,4410,4410,0,
2016-02-02T03:00,2016-02-02,3,4200,4200,0,
2016-02-02T04:00,2016-02-02,4,4039,4039,0,
2016-02-02T05:00,2016-02-02,5,4093,4093,0,
2016-02-02T06:00,2016-02-02,6,4463,4463,0,
2016-02-02T07:00,2016-02-02,7,4903,4903,0,
2016-02-02T08:00,2016-02-02,8,5416,5416,0,
2016-02-02T09:00,2016-02-02,9,5813,5813,0,day
2016-02-02T10:00,2016-02-02,10,5590,5590,0,
2016-02-02T11:00,2016-02-02,11,5597,5597,0,
2016-02-02T12:00,2016-02-02,12,5757,5757,0,
2016-02-02T13:00,2016-02-02,13,5664,5664,0,
2016-02-02T14:00,2016-02-02,14,5495,5495,0,
2016-02-02T15:00,2016-02-02,15,5465,5465,0,
2016-02-02T16:00,2016-02-02,16,5483,5483,0,
2016-02-02T17:00,2016-02-02,17,5483,5483,0,
2016-02-02T18:00,2016-02-02,18,7015,7015,0,
2016-02-02T19:00,2016-02-02,19,7042,7042,0,evening
2016-02-02T20:00,2016-02-02,20,6985,6985,0,
2016-02-02T21:00,2016-02-02,21,6774,6774,0,
2016-02-02T22:00,2016-02-02,22,6149,6149,0,
2016-02-02T23:00,2016-02-02,23,5622,5622,0,
2016-02-03T00:00,2016-02-03,0,5176,5176,0,
2016-02-03T01:00,2016-02-03,1,4751,4751,0,
2016-02-03T02:00,2016-02-03,2,4357,4357,0,
2016-02-03T03:00,2016-02-03,3,4221,4221,0,
2016-02-03T04:00,2016-02-03,4,4160,4160,0,
2016-02-03T05:00,2016-02-03,5,4176,4176,0,
2016-02-03T06:00,2016-02-03,6,4642,4642,0,
2016-02-03T07:00,2016-02-03,7,5132,5132,0,
