datetime,date,hour,demand,generation,loadshed,peak
2024-06-01T00:00,2024-06-01,0,15550,14770,745,
2024-06-01T01:00,2024-06-01,1,14250,13770,458,
2024-06-01T02:00,2024-06-01,2,13900,13426,453,
2024-06-01T03:00,2024-06-01,3,13600,13148,432,
2024-06-01T04:00,2024-06-01,4,13300,12867,414,
2024-06-01T05:00,2024-06-01,5,13000,12616,367,
2024-06-01T06:00,2024-06-01,6,12250,11971,266,
2024-06-01T07:00,2024-06-01,7,12200,11935,253,
2024-06-01T08:00,2024-06-01,8,12200,11903,284,
2024-06-01T09:00,2024-06-01,9,12550,12152,380,
2024-06-01T10:00,2024-06-01,10,12980,12598,365,
2024-06-01T11:00,2024-06-01,11,13300,12874,407,
2024-06-01T12:00,2024-06-01,12,13700,13435,253,day
2024-06-01T13:00,2024-06-01,13,14200,13957,232,
2024-06-01T14:00,2024-06-01,14,14050,13786,252,
2024-06-01T15:00,2024-06-01,15,14200,13549,622,
2024-06-01T16:00,2024-06-01,16,14350,13626,691,
2024-06-01T17:00,2024-06-01,17,13950,13291,629,
2024-06-01T18:00,2024-06-01,18,13600,13127,452,
2024-06-01T19:00,2024-06-01,19,15800,15244,531,
2024-06-01T20:00,2024-06-01,20,15850,15208,613,
2024-06-01T21:00,2024-06-01,21,15750,15336,395,evening
2024-06-01T22:00,2024-06-01,22,15400,14983,398,
2024-06-01T23:00,2024-06-01,23,15450,14893,532,
2024-06-02T00:00,2024-06-02,0,15700,14779,880,
2024-06-02T01:00,2024-06-02,1,15100,14207,853,
2024-06-02T02:00,2024-06-02,2,14750,13975,740,
2024-06-02T03:00,2024-06-02,3,14350,13738,584,
2024-06-02T04:00,2024-06-02,4,13850,13325,501,
2024-06-02T05:00,2024-06-02,5,13650,13183,446,
2024-06-02T06:00,2024-06-02,6,13020,12617,385,
2024-06-02T07:00,2024-06-02,7,12900,12508,374,
2024-06-02T08:00,2024-06-02,8,12950,12504,426,
2024-06-02T09:00,2024-06-02,9,13300,12830,449,
2024-06-02T10:00,2024-06-02,10,13600,13150,430,
2024-06-02T11:00,2024-06-02,11,14000,13280,688,
2024-06-02T12:00,2024-06-02,12,14375,13660,683,day
2024-06-02T13:00,2024-06-02,13,14500,13975,501,
2024-06-02T14:00,2024-06-02,14,14750,14021,696,
2024-06-02T15:00,2024-06-02,15,14850,14008,804,
2024-06-02T16:00,2024-06-02,16,14750,13787,920,
2024-06-02T17:00,2024-06-02,17,14500,13566,892,
2024-06-02T18:00,2024-06-02,18,13750,13241,486,
2024-06-02T19:00,2024-06-02,19,15600,14900,669,
2024-06-02T20:00,2024-06-02,20,15800,15009,755,
2024-06-02T21:00,2024-06-02,21,15950,15199,717,
2024-06-02T22:00,2024-06-02,22,15800,14978,785,
2024-06-02T23:00,2024-06-02,23,15800,14962,800,
2024-06-03T00:00,2024-06-03,0,14500,13974,502,
2024-06-03T01:00,2024-06-03,1,15280,14340,898,
2024-06-03T02:00,2024-06-03,2,14800,14246,529,
2024-06-03T03:00,2024-06-03,3,14250,13748,479,
2024-06-03T04:00,2024-06-03,4,13900,13420,458,
2024-06-03T05:00,2024-06-03,5,13520,13100,401,
2024-06-03T06:00,2024-06-03,6,12900,12561,364,
2024-06-03T07:00,2024-06-03,7,12800,12548,241,
2024-06-03T08:00,2024-06-03,8,12600,12345,291,
2024-06-03T09:00,2024-06-03,9,12570,12449,116,
2024-06-03T10:00,2024-06-03,10,13030,12940,86,
2024-06-03T11:00,2024-06-03,11,13400,13154,235,
