datetime,date,hour,demand,supply,loadshed,peak
2024-07-01T00:00,2024-07-01,0,,,142,
2024-07-01T01:00,2024-07-01,1,,,818,
2024-07-01T02:00,2024-07-01,2,,,820,
2024-07-01T03:00,2024-07-01,3,,,562,
2024-07-01T04:00,2024-07-01,4,,,129,
2024-07-01T05:00,2024-07-01,5,,,49,
2024-07-01T06:00,2024-07-01,6,,,0,
2024-07-01T07:00,2024-07-01,7,,,0,
2024-07-01T08:00,2024-07-01,8,,,0,
2024-07-01T09:00,2024-07-01,9,,,51,
2024-07-01T10:00,2024-07-01,10,,,51,
2024-07-01T11:00,2024-07-01,11,,,55,
2024-07-01T12:00,2024-07-01,12,,,92,day
2024-07-01T13:00,2024-07-01,13,,,129,
2024-07-01T14:00,2024-07-01,14,,,101,
2024-07-01T15:00,2024-07-01,15,,,141,
2024-07-01T16:00,2024-07-01,16,,,235,
2024-07-01T17:00,2024-07-01,17,,,226,
2024-07-01T18:00,2024-07-01,18,,,166,
2024-07-01T19:00,2024-07-01,19,,,169,
2024-07-01T20:00,2024-07-01,20,,,63,evening
2024-07-01T21:00,2024-07-01,21,,,64,
2024-07-01T22:00,2024-07-01,22,,,40,
2024-07-01T23:00,2024-07-01,23,,,73,
2024-07-02T00:00,2024-07-02,0,,,82,
2024-07-02T01:00,2024-07-02,1,,,223,
2024-07-02T02:00,2024-07-02,2,,,193,
2024-07-02T03:00,2024-07-02,3,,,147,
2024-07-02T04:00,2024-07-02,4,,,141,
2024-07-02T05:00,2024-07-02,5,,,101,
2024-07-02T06:00,2024-07-02,6,,,88,
2024-07-02T07:00,2024-07-02,7,,,55,
2024-07-02T08:00,2024-07-02,8,,,41,
2024-07-02T09:00,2024-07-02,9,,,82,
2024-07-02T10:00,2024-07-02,10,,,47,
2024-07-02T11:00,2024-07-02,11,,,54,
2024-07-02T12:00,2024-07-02,12,,,50,day
2024-07-02T13:00,2024-07-02,13,,,32,
2024-07-02T14:00,2024-07-02,14,,,51,
2024-07-02T15:00,2024-07-02,15,,,133,
2024-07-02T16:00,2024-07-02,16,,,90,
2024-07-02T17:00,2024-07-02,17,,,63,
2024-07-02T18:00,2024-07-02,18,,,75,
2024-07-02T19:00,2024-07-02,19,,,82,
2024-07-02T20:00,2024-07-02,20,,,85,
2024-07-02T21:00,2024-07-02,21,,,68,evening
2024-07-02T22:00,2024-07-02,22,,,65,
2024-07-02T23:00,2024-07-02,23,,,89,
2024-07-03T00:00,2024-07-03,0,,,341,
2024-07-03T01:00,2024-07-03,1,,,113,
2024-07-03T02:00,2024-07-03,2,,,117,
