fiscal_year,year,month,date,remittance_musd
FY2024-25,2025,1,2025-01,2185.23
FY2024-25,2025,2,2025-02,2527.65
FY2024-25,2025,3,2025-03,3295.63
FY2024-25,2025,4,2025-04,2752.33
FY2024-25,2025,5,2025-05,2969.56
FY2024-25,2025,6,2025-06,2822.53
FY2025-26,2025,7,2025-07,2477.87
FY2025-26,2025,8,2025-08,2421.89
FY2025-26,2025,9,2025-09,2685.56
FY2025-26,2025,10,2025-10,2562.44
FY2025-26,2025,11,2025-11,2889.73
FY2025-26,2025,12,2025-12,3223.67
FY2025-26,2026,1,2026-01,3171.63
FY2025-26,2026,2,2026-02,3019.45
FY2025-26,2026,3,2026-03,3752.21
FY2025-26,2026,4,2026-04,3123.32
FY2025-26,2026,5,2026-05,3442.58
FY2025-26,2026,6,2026-06,2819.03
