district,fiscal_year,year,month,date,remittance_musd,source_pdf
Sherpur,FY2024-25,2024,10,2024-10,3.4,districtwise_wayback_2024-11.pdf
Sirajganj,FY2024-25,2024,10,2024-10,10.8,districtwise_wayback_2024-11.pdf
Sunamganj,FY2024-25,2024,10,2024-10,28.5,districtwise_wayback_2024-11.pdf
Sylhet,FY2024-25,2024,10,2024-10,113.8,districtwise_wayback_2024-11.pdf
Tangail,FY2024-25,2024,10,2024-10,50.8,districtwise_wayback_2024-11.pdf
Thakurgaon,FY2024-25,2024,10,2024-10,3.2,districtwise_wayback_2024-11.pdf
Bagerhat,FY2024-25,2025,1,2025-01,6.86,report_june2025.pdf
Bandarban,FY2024-25,2025,1,2025-01,2.26,report_june2025.pdf
Barguna,FY2024-25,2025,1,2025-01,5.89,report_june2025.pdf
Barisal,FY2024-25,2025,1,2025-01,24.95,report_june2025.pdf
Bhola,FY2024-25,2025,1,2025-01,9.91,report_june2025.pdf
Bogura,FY2024-25,2025,1,2025-01,14.4,report_june2025.pdf
Brahmanbaria,FY2024-25,2025,1,2025-01,57.53,report_june2025.pdf
Chandpur,FY2024-25,2025,1,2025-01,57.22,report_june2025.pdf
Chapainawabganj,FY2024-25,2025,1,2025-01,9.42,report_june2025.pdf
Chattogram,FY2024-25,2025,1,2025-01,151.79,report_june2025.pdf
Chuadanga,FY2024-25,2025,1,2025-01,8.04,report_june2025.pdf
Comilla,FY2024-25,2025,1,2025-01,115.2,report_june2025.pdf
Coxsbazar,FY2024-25,2025,1,2025-01,12.0,report_june2025.pdf
Dhaka,FY2024-25,2025,1,2025-01,801.63,report_june2025.pdf
Dinajpur,FY2024-25,2025,1,2025-01,5.3,report_june2025.pdf
Faridpur,FY2024-25,2025,1,2025-01,24.6,report_june2025.pdf
Feni,FY2024-25,2025,1,2025-01,61.05,report_june2025.pdf
Gaibandha,FY2024-25,2025,1,2025-01,5.37,report_june2025.pdf
Gazipur,FY2024-25,2025,1,2025-01,30.86,report_june2025.pdf
Gopalganj,FY2024-25,2025,1,2025-01,10.13,report_june2025.pdf
Habiganj,FY2024-25,2025,1,2025-01,26.98,report_june2025.pdf
Jamalpur,FY2024-25,2025,1,2025-01,11.84,report_june2025.pdf
Jashore,FY2024-25,2025,1,2025-01,15.37,report_june2025.pdf
Jhalokati,FY2024-25,2025,1,2025-01,5.61,report_june2025.pdf
Jhenaidah,FY2024-25,2025,1,2025-01,9.04,report_june2025.pdf
Joypurhat,FY2024-25,2025,1,2025-01,2.99,report_june2025.pdf
Khagrachhari,FY2024-25,2025,1,2025-01,3.31,report_june2025.pdf
Khulna,FY2024-25,2025,1,2025-01,10.47,report_june2025.pdf
Kishoreganj,FY2024-25,2025,1,2025-01,30.67,report_june2025.pdf
Kurigram,FY2024-25,2025,1,2025-01,4.71,report_june2025.pdf
Kushtia,FY2024-25,2025,1,2025-01,14.61,report_june2025.pdf
Lakshmipur,FY2024-25,2025,1,2025-01,35.64,report_june2025.pdf
Lalmonirhat,FY2024-25,2025,1,2025-01,1.79,report_june2025.pdf
Madaripur,FY2024-25,2025,1,2025-01,37.17,report_june2025.pdf
Magura,FY2024-25,2025,1,2025-01,5.1,report_june2025.pdf
Manikganj,FY2024-25,2025,1,2025-01,19.97,report_june2025.pdf
Meherpur,FY2024-25,2025,1,2025-01,8.14,report_june2025.pdf
Moulvibazar,FY2024-25,2025,1,2025-01,39.12,report_june2025.pdf
Munshiganj,FY2024-25,2025,1,2025-01,34.52,report_june2025.pdf
Mymensingh,FY2024-25,2025,1,2025-01,24.11,report_june2025.pdf
Naogaon,FY2024-25,2025,1,2025-01,7.72,report_june2025.pdf
Narail,FY2024-25,2025,1,2025-01,4.61,report_june2025.pdf
Narayanganj,FY2024-25,2025,1,2025-01,31.4,report_june2025.pdf
Narsingdi,FY2024-25,2025,1,2025-01,33.34,report_june2025.pdf
Natore,FY2024-25,2025,1,2025-01,5.9,report_june2025.pdf
Netrokona,FY2024-25,2025,1,2025-01,5.66,report_june2025.pdf
Nilphamari,FY2024-25,2025,1,2025-01,2.97,report_june2025.pdf
Noakhali,FY2024-25,2025,1,2025-01,67.71,report_june2025.pdf
Pabna,FY2024-25,2025,1,2025-01,12.96,report_june2025.pdf
Panchagarh,FY2024-25,2025,1,2025-01,2.29,report_june2025.pdf
