district,fiscal_year,remittance_musd,source_pdf
Moulvibazar,FY2018-19,361.7,report_june2025.pdf
Munshiganj,FY2018-19,323.7,report_june2025.pdf
Mymensingh,FY2018-19,210.7,report_june2025.pdf
Naogaon,FY2018-19,87.5,report_june2025.pdf
Narail,FY2018-19,43.8,report_june2025.pdf
Narayanganj,FY2018-19,357.2,report_june2025.pdf
Narsingdi,FY2018-19,315.6,report_june2025.pdf
Natore,FY2018-19,55.3,report_june2025.pdf
Netrokona,FY2018-19,48.2,report_june2025.pdf
Nilphamari,FY2018-19,47.7,report_june2025.pdf
Noakhali,FY2018-19,546.4,report_june2025.pdf
Pabna,FY2018-19,140.3,report_june2025.pdf
Panchagarh,FY2018-19,17.3,report_june2025.pdf
Patuakhali,FY2018-19,56.7,report_june2025.pdf
Pirojpur,FY2018-19,79.7,report_june2025.pdf
Rajbari,FY2018-19,80.7,report_june2025.pdf
Rajshahi,FY2018-19,81.6,report_june2025.pdf
Rangamati,FY2018-19,22.4,report_june2025.pdf
Rangpur,FY2018-19,60.0,report_june2025.pdf
Satkhira,FY2018-19,79.2,report_june2025.pdf
Shariatpur,FY2018-19,184.6,report_june2025.pdf
Sherpur,FY2018-19,29.1,report_june2025.pdf
Sirajganj,FY2018-19,86.5,report_june2025.pdf
Sunamganj,FY2018-19,214.1,report_june2025.pdf
Sylhet,FY2018-19,942.3,report_june2025.pdf
Tangail,FY2018-19,391.1,report_june2025.pdf
Thakurgaon,FY2018-19,22.3,report_june2025.pdf
Bagerhat,FY2019-20,53.5,report_june2025.pdf
Bandarban,FY2019-20,16.6,report_june2025.pdf
Barguna,FY2019-20,50.3,report_june2025.pdf
Barisal,FY2019-20,220.5,report_june2025.pdf
Bhola,FY2019-20,80.8,report_june2025.pdf
Bogura,FY2019-20,160.3,report_june2025.pdf
Brahmanbaria,FY2019-20,701.3,report_june2025.pdf
Chandpur,FY2019-20,506.9,report_june2025.pdf
Chapainawabganj,FY2019-20,81.7,report_june2025.pdf
Chattogram,FY2019-20,1277.7,report_june2025.pdf
Chuadanga,FY2019-20,66.8,report_june2025.pdf
Comilla,FY2019-20,1215.9,report_june2025.pdf
Coxsbazar,FY2019-20,161.4,report_june2025.pdf
Dhaka,FY2019-20,4607.6,report_june2025.pdf
Dinajpur,FY2019-20,229.9,report_june2025.pdf
Faridpur,FY2019-20,256.6,report_june2025.pdf
Feni,FY2019-20,493.9,report_june2025.pdf
Gaibandha,FY2019-20,70.0,report_june2025.pdf
Gazipur,FY2019-20,341.3,report_june2025.pdf
Gopalganj,FY2019-20,77.1,report_june2025.pdf
Habiganj,FY2019-20,263.5,report_june2025.pdf
Jamalpur,FY2019-20,125.3,report_june2025.pdf
Jashore,FY2019-20,166.8,report_june2025.pdf
Jhalokati,FY2019-20,39.7,report_june2025.pdf
Jhenaidah,FY2019-20,90.8,report_june2025.pdf
Joypurhat,FY2019-20,31.5,report_june2025.pdf
Khagrachhari,FY2019-20,25.7,report_june2025.pdf
Khulna,FY2019-20,158.9,report_june2025.pdf
Kishoreganj,FY2019-20,267.9,report_june2025.pdf
Kurigram,FY2019-20,32.1,report_june2025.pdf
