date,plant,fuel,producer,units,installed_mw,present_mw,actual_day,actual_evening,forecast_day,forecast_evening,effective_day,effective_evening,remarks
2025-01-01,Adani Power Jharkhanda Ltd,Import,Import,2*673,1346.0,1347.54,484.0,631.0,1347.54,1347.54,800.0,800.0,
2025-01-01,Amnura 50 MW PP(Sinha),HFO,QRPP,7*7.79,54.53,35.09,0.0,0.0,35.09,35.09,35.09,35.09,Default availability set by nldc
2025-01-01,Anlima Energy Ltd.,HFO,IPP,6*21.2,127.2,116.0,0.0,17.0,116.0,116.0,50.0,108.0,Liquid fuel shortage
2025-01-01,Anwara 300 MW PP (United),HFO,IPP,17*17+24,289.0,300.0,0.0,0.0,300.0,300.0,50.0,100.0,
2025-01-01,Ashuganj 150MW PP (Midland),HFO,IPP,23X7.015,161.345,150.0,0.0,25.0,150.0,150.0,150.0,150.0,
2025-01-01,Ashuganj 195 MW PP (APSCL-United),Gas,IPP,20X9.73+1X16,210.6,195.0,185.0,189.0,195.0,195.0,195.0,195.0,
2025-01-01,Ashuganj 420 MW CCPP(East),Gas,APSCL,284*1+116*1,400.0,393.0,0.0,0.0,0.0,0.0,1.0,1.0,
2025-01-01,Ashuganj 450 MW CCPP(North),Gas,APSCL,1*360,360.0,356.15,300.0,300.0,356.15,356.15,320.0,320.0,
2025-01-01,Ashuganj 450 MW CCPP(South),Gas,APSCL,1*360,360.0,356.56,0.0,0.0,0.0,0.0,1.0,1.0,
2025-01-01,Ashuganj 50 MW PP,Gas,APSCL,14*3.96,55.44,46.94,35.0,30.0,46.94,46.94,40.0,40.0,Default availability set by nldc
2025-01-01,Ashuganj 51 MW PP (Midland),Gas,IPP,6X9.34,56.04,51.0,43.0,51.0,51.0,51.0,51.0,51.0,
2025-01-01,Ashuganj 55 MW PP (Precision),Gas,QRPP,15*4,60.0,55.0,28.0,29.0,30.0,30.0,20.0,20.0,
2025-01-01,Ashuganj CCPP 225 MW,Gas,APSCL,1X142+1X75,217.0,221.43,182.0,182.0,221.0,221.0,205.0,205.0,
2025-01-01,Baghabari 100 MW GTPP,Gas,PDB,1*100,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,Machine Under Maintenance
2025-01-01,Baghabari 50 MW Peaking PP,HFO,PDB,6*8.9,53.4,47.0,0.0,0.0,47.0,47.0,52.0,52.0,Default availability set by nldc
2025-01-01,Baghabari 71 MW GTPP,Gas,PDB,1X71,71.0,71.0,0.0,0.0,71.0,71.0,1.0,1.0,Gas shortage
2025-01-01,Bagura 113 MW PP (Confidence)-2,HFO,IPP,6*18.55+7.2,111.3,113.0,0.0,0.0,113.0,113.0,95.0,113.0,
2025-01-01,Barapukuria 275 MW TPP Unit-3,Coal,PDB,1*275,275.0,274.0,176.0,200.0,200.0,200.0,200.0,200.0,
2025-01-01,Barapukuria TPP Unit-1 & 2,Coal,PDB,1*125+1*125,250.0,170.0,76.0,75.0,75.0,75.0,75.0,75.0,
2025-01-01,Barisal 1 MW Solar Plant,Solar,IPP,,,1.0,0.51,0.0,0.29,0.0,0.29,0.0,
2025-01-01,Barisal 110 MW PP (Summit ),HFO,IPP,7X17.076,119.532,110.0,0.0,0.0,110.0,110.0,110.0,110.0,
2025-01-01,Barisal 307 MW,Coal,BCPCL,307X1,307.0,307.0,260.0,307.0,307.0,307.0,307.0,307.0,
2025-01-01,Bera 70 MW Peaking PP,HFO,PDB,9*8.29,74.61,66.0,0.0,0.0,66.0,66.0,71.0,71.0,Default availability set by nldc
2025-01-01,Bhairob 54.5 MW,HFO,IPP,3*18.2,54.6,54.5,0.0,0.0,54.5,54.5,17.0,53.0,
2025-01-01,Bheramara (HVDC ),Import,Import,2X500,1000.0,1000.0,923.0,923.0,1000.0,1000.0,1000.0,1000.0,Default availability set by nldc
2025-01-01,Bheramara 410 MW CCPP,Gas,NWPGCL,1X278+1X132,410.0,410.0,311.0,250.0,410.0,410.0,300.0,300.0,Gas shortage
2025-01-01,Bheramara GTPP Unit-3,HSD,PDB,1X20,20.0,16.0,0.0,0.0,16.0,16.0,16.0,16.0,Default availability set by nldc
2025-01-01,Bhola 225 MW CCPP,Gas,PDB,2X63+1X68,194.0,193.1,130.0,130.0,134.0,134.0,134.0,134.0,Partial Shutdown of STG
2025-01-01,Bhola 33 MW PP (Venture),Gas,NENP,1X34.50,34.5,40.0,3.0,0.0,10.12,10.12,10.12,10.12,
