date,plant,producer,units,installed_mw,present_mw,peak_mw,energy_kwh,remarks
2025-01-01,Adani Power Jharkhanda Ltd,Import,2*673,1346.0,1347.54,680.0,13781854.0,-
2025-01-01,Amnura 50 MW PP(Sinha),QRPP,7*7.79,54.53,35.09,0.0,0.0,Default availability set by nldc
2025-01-01,Anlima Energy Ltd.,IPP,6*21.2,127.2,116.0,30.0,149027.0,Liquid fuel shortage
2025-01-01,Anwara 300 MW PP (United),IPP,17*17+24,289.0,300.0,32.0,166855.0,-
2025-01-01,Ashuganj 150MW PP (Midland),IPP,23X7.015,161.345,150.0,45.0,194036.0,Default availability set by nldc
2025-01-01,Ashuganj 195 MW PP (APSCL-United),IPP,20X9.73+1X16,210.6,195.0,185.0,2994182.0,-
2025-01-01,Ashuganj 420 MW CCPP(East),APSCL,284*1+116*1,400.0,400.0,0.0,0.0,-
2025-01-01,Ashuganj 450 MW CCPP(North),APSCL,1*360,360.0,356.15,315.0,7826000.0,FGMO
2025-01-01,Ashuganj 450 MW CCPP(South),APSCL,1*360,360.0,360.0,0.0,0.0,-
2025-01-01,Ashuganj 50 MW PP,APSCL,14*3.96,55.44,45.0,33.0,652968.0,Default availability set by nldc
2025-01-01,Ashuganj 51 MW PP (Midland),IPP,6X9.34,56.04,51.0,51.0,883685.0,Default availability set by nldc
2025-01-01,Ashuganj 55 MW PP (Precision),QRPP,15*4,60.0,55.0,29.0,521280.0,-
2025-01-01,Ashuganj CCPP 225 MW,APSCL,1X142+1X75,217.0,221.0,180.0,4511000.0,FGMO
2025-01-01,Baghabari 100 MW GTPP,PDB,1*100,100.0,100.0,0.0,0.0,Machine Under Maintenance
2025-01-01,Baghabari 50 MW Peaking PP,PDB,6*8.9,53.4,52.0,40.0,41402.0,Default availability set by nldc
2025-01-01,Baghabari 71 MW GTPP,PDB,1X71,71.0,71.0,0.0,0.0,Gas shortage
2025-01-01,Bagura 113 MW PP (Confidence)-2,IPP,6*18.55+7.2,111.3,113.0,0.0,0.0,-
2025-01-01,Barapukuria 275 MW TPP Unit-3,PDB,1*275,275.0,274.0,200.0,4664000.0,Machine Problem
2025-01-01,Barapukuria TPP Unit-1 & 2,PDB,1*125+1*125,250.0,170.0,78.0,1836654.0,Partial Shutdown due to maintenance
2025-01-01,Barisal 1 MW Solar Plant,IPP,0,0.0,1.0,0.0,2369.0,Default availability set by nldc
2025-01-01,Barisal 110 MW PP (Summit ),IPP,7X17.076,119.532,110.0,0.0,0.0,Default availability set by nldc
2025-01-01,Barisal 307 MW,BCPCL,307X1,307.0,307.0,300.0,5454000.0,-
2025-01-01,Bera 70 MW Peaking PP,PDB,9*8.29,74.61,71.0,0.0,0.0,Default availability set by nldc
2025-01-01,Bhairob 54.5 MW,IPP,3*18.2,54.6,54.5,17.0,31320.0,-
