date,plant,producer,units,installed_mw,present_mw,peak_mw,energy_kwh,remarks
2026-01-01,Adani Power Jharkhanda Ltd,Import,2*673,1346.0,1435.88,1162.52,21632727.0,FGMO
2026-01-01,Anlima Energy Ltd.,IPP,6*21.2,127.2,116.0,0.0,0.0,-
2026-01-01,Anwara 300 MW PP (United),IPP,17*17+24,289.0,300.0,0.0,0.0,Avail.100%;NEO cut for BPDB late pay.PPASec13.2(j)
2026-01-01,Ashuganj 150MW PP (Midland),IPP,23X7.015,161.345,150.0,0.0,0.0,-
2026-01-01,Ashuganj 195 MW PP (APSCL-United),IPP,20X9.73+1X16,210.6,195.0,38.0,451636.0,-
2026-01-01,Ashuganj 420 MW CCPP(East),APSCL,284*1+116*1,400.0,393.0,325.0,7654200.0,Gas shortage
2026-01-01,Ashuganj 450 MW CCPP(North),APSCL,1*360,360.0,353.35,356.0,8071400.0,Gas shortage
2026-01-01,Ashuganj 450 MW CCPP(South),APSCL,1*360,360.0,318.81,0.0,0.0,Unable to on FGMO>machine under observation.
2026-01-01,Ashuganj 51 MW PP (Midland),IPP,6X9.34,56.04,51.0,51.0,827691.0,-
2026-01-01,Ashuganj 55 MW PP (Precision),QRPP,15*4,60.0,55.0,46.0,864480.0,Gas shortage
2026-01-01,Ashuganj CCPP 225 MW,APSCL,1X142+1X75,217.0,221.0,0.0,206000.0,FGMO
2026-01-01,Ashuganj TSK 50 MW PP,APSCL,14*3.96,55.44,46.701,40.0,840600.0,Gas shortage
2026-01-01,Baghabari 100 MW GTPP,PDB,1*100,100.0,100.0,0.0,0.0,Machine Under Maintenance
2026-01-01,Baghabari 50 MW Peaking PP,PDB,6*8.9,53.4,52.0,0.0,0.0,-
2026-01-01,Baghabari 71 MW GTPP,PDB,1X71,71.0,70.0,0.0,0.0,Gas shortage
2026-01-01,Bagura 113 MW PP (Confidence)-1,IPP,6*18.55,111.3,113.0,0.0,0.0,-
2026-01-01,Bagura 113 MW PP (Confidence)-2,IPP,6*18.55+7.2,111.3,113.0,0.0,0.0,-
2026-01-01,Barapukuria 275 MW TPP Unit-3,PDB,1*275,275.0,274.0,0.0,0.0,Under Maintenance
2026-01-01,Barapukuria TPP Unit-1 & 2,PDB,1*125+1*125,250.0,170.0,0.0,0.0,Under Maintenance
2026-01-01,Barisal 1 MW Solar Plant,IPP,0,0.0,1.0,0.0,3213.0,-
2026-01-01,Barisal 110 MW PP (Summit ),IPP,7X17.076,119.532,110.0,0.0,0.0,-
2026-01-01,Barisal 307 MW,BCPCL,307X1,307.0,307.0,280.0,4385000.0,-
2026-01-01,Bera 70 MW Peaking PP,PDB,9*8.29,74.61,71.0,0.0,0.0,Under Maintenance
2026-01-01,Bhairob 54.5 MW,IPP,3*18.2,54.6,54.5,17.0,148320.0,-
2026-01-01,Bheramara (HVDC ),Import,2X500,1000.0,1000.0,892.0,17746909.0,-
2026-01-01,Bheramara 410 MW CCPP,NWPGCL,1X278+1X132,410.0,410.0,0.0,0.0,Plant is in standby due to scarcity of fuel gas
2026-01-01,Bheramara GTPP Unit-3,PDB,1X20,20.0,16.0,0.0,0.0,Contract Expired
2026-01-01,Bhola 225 MW CCPP,PDB,2X63+1X68,194.0,194.0,140.0,2952000.0,Partial Shutdown of STG
2026-01-01,Bhola 33 MW PP (Venture),NENP,1X34.50,34.5,10.0,0.0,0.0,Contract Expired
2026-01-01,Bhola Nutan Biddut BD LTD,IPP,2*75+1*75,225.0,220.0,220.0,5226080.0,MVAR Subjected to Grid Voltage
2026-01-01,Bibiana-II 341 MW CCPP (Summit),IPP,1*222+1*119,341.0,341.0,320.0,7310500.0,FGMO
2026-01-01,Bibiyana South 400 MW,PDB,1*400,400.0,383.0,0.0,0.0,Shutdown due to HGPI maintanance
2026-01-01,Bibiyana-III 400 MW CCPP,PDB,285*1+134*1,419.0,400.0,0.0,0.0,Under Maintenance
