datetime,date,time,east,west,total,gas_public,gas_pvt,hvdc,nepal,tripura,adani,hydro,coal,solar,hfo_public,hfo_pvt,hsd_public,hsd_pvt,wind,shortage
2024-12-31 00:00,2024-12-31,00:00,4403.0,4149.5,8552.5,3094.0,1398.5,922.0,0.0,52.0,438.0,26.0,2548.0,0.0,35.0,17.0,0.0,0.0,22.0,0.0
2024-12-31 00:30,2024-12-31,00:30,4248.0,4017.5,8265.5,3039.5,1362.5,922.0,0.0,50.0,427.5,26.0,2379.5,0.0,17.5,17.0,0.0,0.0,24.0,0.0
2024-12-31 01:00,2024-12-31,01:00,4093.0,3885.5,7978.5,2985.0,1326.5,922.0,0.0,48.0,417.0,26.0,2211.0,0.0,0.0,17.0,0.0,0.0,26.0,0.0
2024-12-31 01:30,2024-12-31,01:30,4058.0,3740.0,7798.0,2975.0,1338.5,827.0,0.0,46.0,417.0,26.0,2133.0,0.0,0.0,8.5,0.0,0.0,27.0,0.0
2024-12-31 02:00,2024-12-31,02:00,4023.0,3594.5,7617.5,2965.0,1350.5,732.0,0.0,44.0,417.0,26.0,2055.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2024-12-31 02:30,2024-12-31,02:30,3958.0,3533.0,7491.0,2868.0,1343.5,732.5,0.0,42.0,418.0,26.0,2031.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
2024-12-31 03:00,2024-12-31,03:00,3893.0,3471.5,7364.5,2771.0,1336.5,733.0,0.0,40.0,419.0,26.0,2007.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2024-12-31 03:30,2024-12-31,03:30,3839.5,3419.0,7258.5,2725.0,1330.5,686.0,0.0,43.0,419.0,26.0,1993.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
2024-12-31 04:00,2024-12-31,04:00,3786.0,3366.5,7152.5,2679.0,1324.5,639.0,0.0,46.0,419.0,26.0,1979.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
2024-12-31 04:30,2024-12-31,04:30,3757.0,3370.0,7127.0,2678.0,1306.0,639.0,0.0,45.0,418.5,26.0,1984.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0
