date,plant,fuel,producer,units,installed_mw,present_mw,actual_day,actual_evening,forecast_day,forecast_evening,effective_day,effective_evening,remarks
2022-09-10,Adani Power Jharkhanda Ltd,Import,Import,2*673,1346.0,1469.13,747.0,691.44,748.0,748.0,748.0,748.0,U-2 Under Maintenance
2022-09-10,Anlima Energy Ltd.,HFO,IPP,6*21.2,127.2,116.0,109.0,107.0,116.0,116.0,92.0,92.0,FGMO
2022-09-10,Anwara 300 MW PP (United),HFO,IPP,17*17+24,289.0,300.0,16.0,16.0,300.0,300.0,16.0,16.0,Liquid fuel shortage
2022-09-10,Ashuganj 150MW PP (Midland),HFO,IPP,23X7.015,161.345,150.0,40.0,144.0,150.0,150.0,20.0,150.0,-
2022-09-10,Ashuganj 195 MW PP (APSCL-United),Gas,IPP,20X9.73+1X16,210.6,195.0,0.0,108.0,195.0,195.0,180.0,180.0,-
2022-09-10,Ashuganj 420 MW CCPP(East),Gas,APSCL,284*1+116*1,400.0,393.0,393.0,330.0,393.0,393.0,363.0,363.0,FGMO
2022-09-10,Ashuganj 450 MW CCPP(North),Gas,APSCL,1*360,360.0,350.01,354.0,355.0,350.01,350.01,350.01,350.01,-
2022-09-10,Ashuganj 450 MW CCPP(South),Gas,APSCL,1*360,360.0,342.01,0.0,0.0,342.01,342.01,307.0,307.0,FGMO
2022-09-10,Ashuganj 51 MW PP (Midland),Gas,IPP,6X9.34,56.04,51.0,44.0,44.0,51.0,51.0,44.0,44.0,-
2022-09-10,Ashuganj 55 MW PP (Precision),Gas,QRPP,15*4,60.0,52.824,0.0,30.0,52.82,52.82,0.0,0.0,Gas shortage
2022-09-10,Ashuganj CCPP 225 MW,Gas,APSCL,1X142+1X75,217.0,221.25,204.0,180.0,221.25,221.25,205.25,205.25,FGMO
2022-09-10,Ashuganj TSK 50 MW PP,Gas,APSCL,14*3.96,55.44,46.701,0.0,37.0,41.65,41.65,0.0,0.0,Gas shortage
2022-09-10,Baghabari 100 MW GTPP,Gas,PDB,1*100,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Machine Under Maintenance
2022-09-10,Baghabari 50 MW Peaking PP,HFO,PDB,6*8.9,53.4,52.0,24.0,24.0,32.0,32.0,32.0,32.0,Liquid fuel shortage
2022-09-10,Baghabari 71 MW GTPP,Gas,PDB,1X71,71.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas shortage
2022-09-10,Bagura 113 MW PP (Confidence)-1,HFO,IPP,6*18.55,111.3,113.0,0.0,35.0,113.0,113.0,35.0,50.0,Liquid fuel shortage
2022-09-10,Bagura 113 MW PP (Confidence)-2,HFO,IPP,6*18.55+7.2,111.3,113.0,1.0,50.0,113.0,113.0,35.0,70.0,Liquid fuel shortage
2022-09-10,Barapukuria 275 MW TPP Unit-3,Coal,PDB,1*275,275.0,274.0,155.0,157.0,160.0,160.0,160.0,160.0,Machine Problem
2022-09-10,Barapukuria TPP Unit-1 & 2,Coal,PDB,1*125+1*125,250.0,170.0,50.0,50.0,50.0,50.0,50.0,50.0,Machine Problem
2022-09-10,Barisal 1 MW Solar Plant,Solar,IPP,,,1.0,0.44,0.0,1.0,0.0,1.0,0.0,-
2022-09-10,Barisal 110 MW PP (Summit ),HFO,IPP,7X17.076,119.532,110.0,16.0,48.0,110.0,110.0,16.0,32.0,Liquid fuel shortage
2022-09-10,Barisal 307 MW,Coal,BCPCL,307X1,307.0,307.0,150.0,200.0,307.0,307.0,307.0,307.0,-
2022-09-10,Bera 70 MW Peaking PP,HFO,PDB,9*8.29,74.61,71.0,0.0,0.0,32.0,32.0,0.0,0.0,Engine Problem
2022-09-10,Bhairob 54.5 MW,HFO,IPP,3*18.2,54.6,54.5,0.0,17.0,54.5,54.5,0.0,17.0,Liquid fuel shortage
2022-09-10,Bheramara (HVDC ),Import,Import,2X500,1000.0,1000.0,930.0,741.0,1000.0,1000.0,1000.0,1000.0,-
2022-09-10,Bheramara 410 MW CCPP,Gas,NWPGCL,1X278+1X132,410.0,410.0,0.0,0.0,410.0,410.0,0.0,0.0,Gas shortage
2022-09-10,Bheramara GTPP Unit-3,HSD,PDB,1X20,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Contract Expired
2022-09-10,Bhola 225 MW CCPP,Gas,PDB,2X63+1X68,194.0,194.0,115.0,116.0,120.0,120.0,116.0,116.0,Partial Shutdown of STG
2022-09-10,Bhola 33 MW PP (Venture),Gas,NENP,1X34.50,34.5,11.04,0.0,0.0,0.0,0.0,0.0,0.0,Contract Expired
2022-09-10,Bhola Nutan Biddut BD LTD,Gas/HSD,IPP,2*75+1*75,225.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,MVAR Subjected to Grid Voltage
2022-09-10,Bibiana-II 341 MW CCPP (Summit),Gas,IPP,1*222+1*119,341.0,341.0,310.0,300.0,341.0,341.0,307.0,307.0,FGMO
2022-09-10,Bibiyana South 400 MW,Gas,PDB,1*400,400.0,383.0,393.0,400.0,383.0,383.0,383.0,383.0,-
2022-09-10,Bibiyana-III 400 MW CCPP,Gas,PDB,285*1+134*1,419.0,400.0,355.0,392.0,350.0,390.0,350.0,390.0,FGMO not available
2022-09-10,Chandpur 115(Doreen),HFO,IPP,4*18.5+2*22.5,119.0,115.0,69.0,115.0,115.0,115.0,70.0,115.0,-
2022-09-10,Chandpur 150 MW CCPP,Gas,PDB,1*106+1*57,163.0,163.0,85.0,91.0,163.0,163.0,85.0,85.0,-
2022-09-10,Chandpur 200MW (Desh energy),HFO,IPP,12*18.4,220.8,200.0,164.0,172.0,200.0,200.0,120.0,180.0,FGMO
2022-09-10,Chapainawabganj 100 MW Peaking PP,HFO,PDB,12*8.924,107.088,104.0,0.0,50.0,50.0,50.0,0.0,50.0,Liquid fuel shortage
2022-09-10,Chattogram 108 MW PP (ECPV),HFO,IPP,16*7,112.0,95.104,31.0,41.0,95.1,95.1,31.0,50.0,Liquid fuel shortage
2022-09-10,Chattogram TPP,Gas,PDB,1*210+1*210,420.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,"Unit #1 Under Maintenance, Unit#2 Gas Shortage"
2022-09-10,Chowmuhani 113 MW,HFO,IPP,12*9.78+2*3.1,123.56,113.0,21.0,26.0,113.0,113.0,27.0,27.0,Liquid fuel shortage
2022-09-10,Cox's Bazar Wind,Wind,PDB,22*3,66.0,60.0,2.0,11.0,20.0,21.0,20.0,21.0,-
2022-09-10,Cumilla 25 MW PP (Summit),Gas,"SIPP,REB",3*3.67+2*6.97,24.95,25.0,19.0,19.0,24.5,24.5,19.0,19.0,-
2022-09-10,Dohazari -Kalaish 100 MW Peaking,HFO,PDB,6*17,102.0,102.0,0.0,51.0,0.0,51.0,0.0,51.0,Liquid fuel shortage
2022-09-10,Energypac Power Venture Thakurgaon Ltd.,HFO,IPP,,,115.0,115.0,93.0,115.0,115.0,115.0,115.0,-
